2022-01-13 12:01:39.188814 ,u_0,u_1,alpha_0,alpha_1,h
2022-01-13 12:01:39.188849 ,1.000000000000,-0.990000000000,-95.394814195715,-99.999984264281,2.605170185988
2022-01-13 12:01:39.188857 ,1.000000000000,-0.986666666667,-70.682492705507,-74.999980628603,2.317488113536
2022-01-13 12:01:39.188864 ,1.000000000000,-0.983333333333,-55.905646972389,-59.999991429288,2.094344562222
2022-01-13 12:01:39.188871 ,1.000000000000,-0.980000000000,-46.087972660161,-49.999995600716,1.912023005428
2022-01-13 12:01:39.188879 ,1.000000000000,-0.976666666667,-39.099262335496,-42.857134517624,1.757872325601
2022-01-13 12:01:39.188886 ,1.000000000000,-0.973333333333,-33.875654055399,-37.499994887864,1.624340932976
2022-01-13 12:01:39.188893 ,1.000000000000,-0.970000000000,-29.826772190876,-33.333330014795,1.506557897320
2022-01-13 12:01:39.188900 ,1.000000000000,-0.966666666667,-26.598795290267,-29.999992487300,1.401197381662
2022-01-13 12:01:39.188907 ,1.000000000000,-0.963333333333,-23.966834921632,-27.272721980427,1.305887201858
2022-01-13 12:01:39.188914 ,1.000000000000,-0.960000000000,-21.781120446043,-24.999996157604,1.218875824868
2022-01-13 12:01:39.188921 ,1.000000000000,-0.956666666667,-19.938087189811,-23.076920215602,1.138833117195
2022-01-13 12:01:39.188928 ,1.000000000000,-0.953333333333,-18.363844181200,-21.428569251344,1.064725145041
2022-01-13 12:01:39.188935 ,1.000000000000,-0.950000000000,-17.004262307832,-19.999994374043,0.995732273554
2022-01-13 12:01:39.188942 ,1.000000000000,-0.946666666667,-15.818801989371,-18.749995567555,0.931193752416
2022-01-13 12:01:39.188949 ,1.000000000000,-0.943333333333,-14.776486298690,-17.647055281364,0.870569130600
2022-01-13 12:01:39.188956 ,1.000000000000,-0.940000000000,-13.853253210063,-16.666663800081,0.813410716760
2022-01-13 12:01:39.188963 ,1.000000000000,-0.936666666667,-13.030127952133,-15.789471338145,0.759343495490
2022-01-13 12:01:39.188970 ,1.000000000000,-0.933333333333,-12.291947954622,-14.999998060466,0.708050201102
2022-01-13 12:01:39.188978 ,1.000000000000,-0.930000000000,-11.626452714034,-14.285712667529,0.659260036933
2022-01-13 12:01:39.188985 ,1.000000000000,-0.926666666667,-11.023622327063,-13.636362274818,0.612740021299
2022-01-13 12:01:39.188992 ,1.000000000000,-0.923333333333,-10.475186372878,-13.043474414440,0.568288258732
2022-01-13 12:01:39.188999 ,1.000000000000,-0.920000000000,-9.974268263986,-12.499996714735,0.525728644322
2022-01-13 12:01:39.189005 ,1.000000000000,-0.916666666667,-9.515090695589,-11.999997171707,0.484906649826
2022-01-13 12:01:39.189012 ,1.000000000000,-0.913333333333,-9.092773300324,-11.538459079676,0.445685936730
2022-01-13 12:01:39.189019 ,1.000000000000,-0.910000000000,-8.703163478777,-11.111108942787,0.407945608875
2022-01-13 12:01:39.189026 ,1.000000000000,-0.906666666667,-8.342705928893,-10.714283756708,0.371577964975
2022-01-13 12:01:39.189033 ,1.000000000000,-0.903333333333,-8.008339238588,-10.344825747996,0.336486645704
2022-01-13 12:01:39.189039 ,1.000000000000,-0.900000000000,-7.697413214868,-9.999998164078,0.302585095055
2022-01-13 12:01:39.189046 ,1.000000000000,-0.896666666667,-7.407622257725,-9.677417360238,0.269795274100
2022-01-13 12:01:39.189052 ,1.000000000000,-0.893333333333,-7.136951261790,-9.374997618471,0.238046579051
2022-01-13 12:01:39.189059 ,1.000000000000,-0.890000000000,-6.883631382662,-9.090905997374,0.207274925888
2022-01-13 12:01:39.189065 ,1.000000000000,-0.886666666667,-6.646101731191,-8.823523074097,0.177421971716
2022-01-13 12:01:39.189072 ,1.000000000000,-0.883333333333,-6.422987036038,-8.571420642741,0.148434449055
2022-01-13 12:01:39.189079 ,1.000000000000,-0.880000000000,-6.213060500511,-8.333322921637,0.120263593978
2022-01-13 12:01:39.189085 ,1.000000000000,-0.876666666667,-6.015231048484,-8.108094036722,0.092864652667
