t,err_u,err_alpha,int_h,int_h_ref
0.0,0.00012811810942923042,0.04386145192437524,-4.577990880946588,-4.636619433823284
0.003,0.0002561339553098022,0.04390452069038136,-4.578974663927109,-4.637630371591597
0.006,0.00038428680910488066,0.0439933687846271,-4.57989692628422,-4.638639223687482
0.009000000000000001,0.0005128102434618554,0.04412731270071448,-4.5807585156956225,-4.6396461001046605
0.012,0.0006419214302166681,0.044306294402249424,-4.581559421311797,-4.64065111427879
0.015,0.0007718222418753713,0.04452988051700131,-4.582300090011757,-4.6416543766276375
0.018000000000000002,0.0009026943268103944,0.04479799221394191,-4.582980346747303,-4.6426559966448435
0.021,0.0010347063244743424,0.04510952753818978,-4.5836009609936985,-4.643656083635285
0.024,0.0011680110981145803,0.045464803143138825,-4.58416107318613,-4.644654746479417
0.027,0.0013027437403653245,0.045862970288961157,-4.58466157324092,-4.645652090655024
0.03,0.0014389733388890658,0.04629556268025481,-4.585111048562687,-4.6466482226470855
0.033,0.0015757353066098373,0.04659460753167568,-4.585707620662111,-4.647643246101268
0.036000000000000004,0.0017125436173835904,0.04682473373725189,-4.586389766888462,-4.648637264770464
0.039,0.0018491565212695787,0.04702325509235262,-4.5871195295344895,-4.649630379134746
0.042,0.0019854508919253883,0.047208691469079384,-4.587877810679138,-4.650622689963019
0.045,0.002121380769499498,0.04739496134969645,-4.588649269002159,-4.651614296897358
0.048,0.0022568973969770475,0.04758100949622052,-4.589433837709862,-4.652605297068277
0.051000000000000004,0.0023920310221663,0.04778066046109577,-4.590215916027896,-4.653595786442457
0.054,0.00252681788268507,0.04799552175577212,-4.5909923248129125,-4.654585859034416
0.057,0.002661285802130789,0.04822267314858121,-4.591763961621286,-4.655575608576455
0.06,0.002795513698452524,0.0484723647528983,-4.592518512969293,-4.656565126519103
0.063,0.0029295842643661534,0.048743776960974115,-4.593257406140223,-4.6575545036762565
0.066,0.003063584355882124,0.0490340365059237,-4.593981028227079,-4.658543829208204
0.069,0.0031976032175271125,0.049346276697723936,-4.594680468296233,-4.659533189114982
0.07200000000000001,0.0033317292090123025,0.04967902929777297,-4.595363548681604,-4.660522668911977
0.075,0.003466080520086019,0.050040567143497,-4.596012189609009,-4.661512353378065
0.078,0.0036007156033894716,0.050422783507835564,-4.596640918638875,-4.662502324592383
0.081,0.003735700455587431,0.0508346346780119,-4.597230450611537,-4.663492662121947
0.084,0.0038709673582965846,0.05126262427226011,-4.5978026439999695,-4.664483445885666
0.08700000000000001,0.004006442114997835,0.05171265010129302,-4.59834265645552,-4.665474752527259
0.09,0.00414204945520189,0.052188913423475,-4.598844680060336,-4.6664666568134345
0.093,0.004277559393047879,0.052683084854260105,-4.599324620316301,-4.66745923302898
0.096,0.004412877958021811,0.053202448558196835,-4.599765191307565,-4.668452552796366
0.099,0.004547482160867132,0.05366669553645036,-4.600298485399317,-4.669446685466247
0.10200000000000001,0.00468074832803271,0.05406046154750872,-4.600955329677705,-4.670441699571145
0.105,0.004812294171191914,0.05442076507365346,-4.601677819964329,-4.671437661124951
0.108,0.00494196000663669,0.054769854290378624,-4.602427504109577,-4.672434633514393
0.111,0.00506877331111813,0.05492025302763201,-4.6032808440521364,-4.673432678872262
0.114,0.005192035026101974,0.054900470315083015,-4.604204706190918,-4.674431857731851
0.117,0.0053113966188505024,0.05480436586309907,-4.605160637264254,-4.675432228102481
0.12,0.005426612976338464,0.054632731137383005,-4.606160804824438,-4.676433845921052
0.123,0.005537857922147414,0.05444744245768954,-4.607159855483716,-4.677436765706156
0.126,0.00564522983793856,0.05422920605750883,-4.60815568571396,-4.678441038655642
0.129,0.0057490308752331165,0.0540100688782857,-4.6091625257591105,-4.679446715825494
0.132,0.005849696052926931,0.053806891302855625,-4.610152011833215,-4.6804538445937425
0.135,0.005947646291645464,0.05359131729405506,-4.611139193800958,-4.681462470390526
0.138,0.0060433979564411275,0.05338609213589077,-4.612119407491148,-4.682472637062546
0.14100000000000001,0.006137625259361492,0.05319542163432559,-4.6130699284046255,-4.683484386642508
0.14400000000000002,0.006231086010032741,0.05301676394544104,-4.6140324236146855,-4.6844977568246735
0.147,0.006324719253758921,0.05286346626041657,-4.614965468042624,-4.6855127861064485
0.15,0.006419572638179418,0.0527339512074235,-4.61587570804274,-4.686529509082092
0.153,0.006516656607164474,0.052620565523401996,-4.616782187527611,-4.68754795908614
0.156,0.006616916998276561,0.05254311296206654,-4.617651597932988,-4.688568167109456
0.159,0.006720763497646925,0.05245404941866407,-4.618545403685171,-4.689590160542647
0.162,0.0068281361435461796,0.052350697658930495,-4.619540794158326,-4.690613966595906
0.165,0.006938251215580499,0.0522020476907527,-4.620583475988344,-4.691639609028209
0.168,0.007050357164415864,0.05209440108119704,-4.621631809265386,-4.692667110248755
0.171,0.007163567766589738,0.05197378630527385,-4.622723843625088,-4.693696488870687
0.17400000000000002,0.0072771239092364074,0.051851723940849144,-4.6238452701979575,-4.6947277625122865
0.177,0.007390637882520776,0.051774899667793306,-4.624963734660787,-4.695760946871923
0.18,0.007503681324487929,0.05168066934713979,-4.626087385236308,-4.6967960553568995
0.183,0.00761597194978096,0.051600030729021105,-4.627235992271903,-4.697833098743475
0.186,0.007727318119065254,0.051560463009111476,-4.628383406711196,-4.698872085804232
0.189,0.00783741693103856,0.05149840439337217,-4.62955034741827,-4.699913023042692
0.192,0.007946126808082007,0.05145602351313422,-4.630718630920051,-4.700955915119407
0.195,0.008053406271145376,0.05145078347777977,-4.6318784342203205,-4.702000763594457
0.198,0.00815911596910576,0.05144117438803817,-4.633053409462199,-4.7030475694591125
