t,err_u,err_alpha,int_h,int_h_ref
0.0,6.123596307047975e-06,0.0020797071980767955,-4.6338775006374,-4.636619433823284
0.003,1.2299480491835654e-05,0.0020822779157337475,-4.634888413516715,-4.637630371591597
0.006,1.8664658032061315e-05,0.002085269129424525,-4.635901317098599,-4.638639223687482
0.009000000000000001,2.5355915788102676e-05,0.0020902213845092467,-4.6369141419431905,-4.6396461001046605
0.012,3.2494288759783e-05,0.0020976053445408652,-4.637926553077854,-4.64065111427879
0.015,4.0177367560975585e-05,0.002107329111854013,-4.638938739319616,-4.6416543766276375
0.018000000000000002,4.8485873408230255e-05,0.002118634547549539,-4.639951758943687,-4.6426559966448435
0.021,5.7483118632291706e-05,0.002132620305854899,-4.64096396553294,-4.643656083635285
0.024,6.720621907824705e-05,0.002155682519930596,-4.641976585675364,-4.644654746479417
0.027,7.768686273904873e-05,0.0022138103042644228,-4.64298937237312,-4.645652090655024
0.03,8.894419418529791e-05,0.0022912918053030287,-4.644002414121649,-4.6466482226470855
0.033,0.00010098739757856337,0.0023805327275801353,-4.645015273357577,-4.647643246101268
0.036000000000000004,0.00011381387688080273,0.002477582689346915,-4.646028780514623,-4.648637264770464
0.039,0.00012741358714356534,0.0025796414254950707,-4.6470426548138555,-4.649630379134746
0.042,0.00014177360104091554,0.0026856937444041775,-4.648056627726927,-4.650622689963019
0.045,0.0001568734659270552,0.0027943312633698708,-4.649070755157641,-4.651614296897358
0.048,0.00017269161766135784,0.002903923333949642,-4.650085437063979,-4.652605297068277
0.051000000000000004,0.0001892078560249304,0.0030146877679969714,-4.651100363112513,-4.653595786442457
0.054,0.0002063923999506407,0.003125271173206868,-4.652115639343965,-4.654585859034416
0.057,0.0002242204220743563,0.0032354967881645584,-4.653131251470024,-4.655575608576455
0.06,0.00024265886914189925,0.003344491756614474,-4.654147250856288,-4.656565126519103
0.063,0.0002616794247709307,0.0034528623607582333,-4.655163412791399,-4.6575545036762565
0.066,0.00028124611570257596,0.003559451893132753,-4.656179915774478,-4.658543829208204
0.069,0.0003013293084371801,0.00366429934529458,-4.657196912068574,-4.659533189114982
0.07200000000000001,0.0003218963083572174,0.003767158466784677,-4.658214343877403,-4.660522668911977
0.075,0.00034291102321764926,0.0038673349693042302,-4.659232256163421,-4.661512353378065
0.078,0.00036434241204793253,0.0039657699393749034,-4.660250207396017,-4.662502324592383
0.081,0.00038615407566943235,0.004061150781561653,-4.66126899327543,-4.663492662121947
0.084,0.0004083165538792262,0.004154706743445132,-4.6622874753780925,-4.664483445885666
0.08700000000000001,0.00043079640745861264,0.0042447387967195415,-4.663306620044258,-4.665474752527259
0.09,0.0004535624196553659,0.004332382702578055,-4.664326023366189,-4.6664666568134345
0.093,0.00047657832563983087,0.004416691518988389,-4.665346080523644,-4.66745923302898
0.096,0.0004998170223031776,0.004498135575900423,-4.666366425427213,-4.668452552796366
0.099,0.0005232459065542917,0.004576419884374147,-4.667387053348498,-4.669446685466247
0.10200000000000001,0.0005468380612750327,0.004651329225683151,-4.668408064901975,-4.670441699571145
0.105,0.0005705616683185885,0.004723392758302373,-4.669429233732468,-4.671437661124951
0.108,0.0005943930101175348,0.004792682735243099,-4.670450932346237,-4.672434633514393
0.111,0.0006182985396098612,0.004857550781764472,-4.671473156713469,-4.673432678872262
0.114,0.0006422542263121905,0.004919766993296219,-4.672495816328396,-4.674431857731851
0.117,0.000666239717410718,0.004978372210266378,-4.673518971988216,-4.675432228102481
0.12,0.0006902286742738553,0.0050340786113938114,-4.674542443450172,-4.676433845921052
0.123,0.000714195545584777,0.005085720001923131,-4.675566354130855,-4.677436765706156
0.126,0.0007381207642905721,0.00513484474585577,-4.676590214765748,-4.678441038655642
0.129,0.0007619812849103333,0.005179737606906404,-4.677615535527155,-4.679446715825494
0.132,0.000785760072835655,0.005221588988593313,-4.678640928743133,-4.6804538445937425
0.135,0.0008094329222930564,0.0052600174737894335,-4.679666940494291,-4.681462470390526
0.138,0.0008329909896154305,0.00529567530819255,-4.680693455314838,-4.682472637062546
0.14100000000000001,0.0008564094517538714,0.005326905222996284,-4.681720377039368,-4.683484386642508
0.14400000000000002,0.0008796786953634582,0.005355900724264566,-4.682748142447579,-4.6844977568246735
0.147,0.0009027844332214521,0.005381129305405456,-4.683775923302095,-4.6855127861064485
0.15,0.0009257113328630355,0.005403087012811555,-4.684805286638169,-4.686529509082092
0.153,0.0009484427549679085,0.005421734192829685,-4.685835043325674,-4.68754795908614
0.156,0.0009709733167689469,0.005437683906473431,-4.686865030636721,-4.688568167109456
0.159,0.0009932912372044634,0.0054502434730245766,-4.687896112768398,-4.689590160542647
0.162,0.0010153846117282102,0.005459196013965869,-4.688928034850377,-4.690613966595906
0.165,0.0010372414739694552,0.005465446863220865,-4.689961002355826,-4.691639609028209
0.168,0.0010588633773739198,0.005469200190483112,-4.690994062997393,-4.692667110248755
0.171,0.0010802380174329408,0.005469837925500309,-4.692028267316182,-4.693696488870687
0.17400000000000002,0.001101358095890106,0.005467207829223175,-4.693063714950737,-4.6947277625122865
0.177,0.0011222194142578418,0.0054623038980462805,-4.69409923146445,-4.695760946871923
