"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.28681432,-0.5734011928,-0.003486514091,0.0001809920563,5.761156082e-05,-1.747215199e-05,1.564327765e-07,1,0,3.5,0,0
-1.306979349,-0.6571726071,-0.00358981549,0.0001979206108,6.300008709e-05,-2.068633309e-05,1.495867048e-07,1,0.007000000216,3.5,0.007000000216,0
-1.327144378,-0.7409440214,-0.003693116888,0.0002148491653,6.838861336e-05,-2.390051418e-05,1.427406331e-07,1,0.01400000043,3.5,0.01400000043,0
-1.347309404,-0.8247154245,-0.003796418273,0.0002317777176,7.377713891e-05,-2.711469485e-05,1.358945622e-07,1,0.02099999972,3.5,0.02099999972,0
-1.367474436,-0.90848685,-0.003899719685,0.0002487062744,7.91656659e-05,-3.032887638e-05,1.290484896e-07,1,0.02800000086,3.5,0.02800000086,0
-1.387639462,-0.9922582531,-0.00400302107,0.0002656348267,8.455419145e-05,-3.354305704e-05,1.222024188e-07,1,0.03500000015,3.5,0.03500000015,0
-1.407804488,-1.076029656,-0.004106322454,0.000282563379,8.9942717e-05,-3.675723771e-05,1.15356348e-07,1,0.04199999943,3.5,0.04199999943,0
-1.427969514,-1.159801059,-0.004209623839,0.0002994919313,9.533124255e-05,-3.997141838e-05,1.085102771e-07,1,0.04899999872,3.5,0.04899999872,0
-1.448134551,-1.243572507,-0.004312925279,0.0003164204925,0.000100719771,-4.318560076e-05,1.016642027e-07,1,0.05600000173,3.5,0.05600000173,0
-1.465920271,-1.31918234,-0.00441649254,0.0003326460927,0.0001058845399,-4.617459854e-05,9.605696169e-08,1,0.06300000101,3.5,0.06300000101,0
-1.462703938,-1.322750287,-0.004522406686,0.0003426667606,0.0001090742176,-4.71759152e-05,1.013848262e-07,1,0.0700000003,3.5,0.0700000003,0
-1.459487605,-1.326318235,-0.004628320832,0.0003526874284,0.0001122638952,-4.817723186e-05,1.067126908e-07,1,0.07699999958,3.5,0.07699999958,0
-1.456271273,-1.329886182,-0.004734234978,0.0003627080963,0.0001154535728,-4.917854852e-05,1.120405553e-07,1,0.08399999887,3.5,0.08399999887,0
-1.45305494,-1.33345413,-0.004840149123,0.0003727287641,0.0001186432505,-5.017986518e-05,1.173684199e-07,1,0.09099999815,3.5,0.09099999815,0
-1.449838607,-1.337022077,-0.004946063269,0.0003827494319,0.0001218329281,-5.118118184e-05,1.226962844e-07,1,0.09799999744,3.5,0.09799999744,0
-1.446622274,-1.340590025,-0.005051977415,0.0003927700998,0.0001250226058,-5.21824985e-05,1.28024149e-07,1,0.1049999967,3.5,0.1049999967,0
-1.443405938,-1.344157976,-0.005157891674,0.0004027907783,0.0001282122868,-5.318381622e-05,1.333520192e-07,1,0.1120000035,3.5,0.1120000035,0
-1.440189605,-1.347725924,-0.005263805819,0.0004128114461,0.0001314019644,-5.418513288e-05,1.386798837e-07,1,0.1190000027,3.5,0.1190000027,0
-1.437416418,-1.352693418,-0.006216104285,0.0004231008085,0.0001346771702,-5.524669714e-05,9.539213034e-08,1,0.126000002,3.5,0.126000002,0
-1.432013066,-1.34571765,-0.007093777104,0.0004309832358,0.0001371862247,-5.576672656e-05,4.367152565e-08,1,0.1330000013,3.5,0.1330000013,0
-1.423093309,-1.322462624,-0.006950728556,0.0004357036998,0.0001386887951,-5.55310539e-05,4.482982576e-08,1,0.1400000006,3.5,0.1400000006,0
-1.414244838,-1.299009158,-0.006350121322,0.000440482055,0.0001402097928,-5.526978908e-05,8.152750392e-08,1,0.1469999999,3.5,0.1469999999,0
-1.405396368,-1.275555692,-0.005749514088,0.0004452604103,0.0001417307905,-5.500852427e-05,1.182251821e-07,1,0.1539999992,3.5,0.1539999992,0
