epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,2.850477667306701e+16,2.850296849183539e+16,82240960.0,2.850296849183539e+16,1846190931968.0,378120.0625,1846190931968.0,1846191194112.0,378120.1875,1846191194112.0,258240797474816.0,258234153697280.0,16069265.0,258234153697280.0,6817323008.0,61028.7734375,6817323008.0,6817371136.0,61028.94921875,6817371136.0
1,93411646373888.0,93408970407936.0,9129052.0,93408970407936.0,2820867072.0,36946.23046875,2820867072.0,2820890624.0,36946.42578125,2820890624.0,22784063307776.0,22783123783680.0,4773072.0,22783123783680.0,930536128.0,21410.634765625,930536128.0,930551168.0,21410.78515625,930551168.0
2,9020834316288.0,9020407545856.0,2857340.75,9020407545856.0,434028448.0,13811.8818359375,434028448.0,434039392.0,13812.0693359375,434039392.0,2350564245504.0,2350410366976.0,1533075.625,2350410366976.0,153157488.0,8208.255859375,153157488.0,153163408.0,8208.4443359375,153163408.0
3,898137063424.0,898067988480.0,895040.3125,898067988480.0,66932676.0,5107.064453125,66932676.0,66936396.0,5107.26025390625,66936396.0,199938850816.0,199919943680.0,447115.5,199919943680.0,18936582.0,2765.06201171875,18936582.0,18938548.0,2765.254638671875,18938548.0
4,65967325184.0,65960538112.0,236859.421875,65960538112.0,6751293.5,1523.74169921875,6751293.5,6752354.0,1523.9334716796875,6752354.0,10166424576.0,10165184512.0,100820.6015625,10165184512.0,1237934.875,689.085205078125,1237934.875,1238418.75,689.280029296875,1238418.75
5,3165547520.0,3165136128.0,51732.671875,3165136128.0,416865.09375,368.9813537597656,416865.09375,417121.71875,369.1755676269531,417121.71875,508393312.0,508314368.0,22545.3515625,508314368.0,79076.890625,170.38670349121094,79076.890625,79194.5078125,170.58018493652344,79194.5078125
6,159399680.0,159373808.0,11553.0888671875,159373808.0,25744.833984375,89.1386947631836,25744.833984375,25805.751953125,89.32075500488281,25805.751953125,23784242.0,23779998.0,4876.36328125,23779998.0,4243.04150390625,38.97377395629883,4243.04150390625,4268.82470703125,39.138755798339844,4268.82470703125
7,7809189.5,7807567.0,2573.847412109375,7807567.0,1617.1201171875,22.500646591186523,1617.1201171875,1631.090576171875,22.61707305908203,1631.090576171875,1149574.125,1149132.125,1071.9351806640625,1149132.125,442.171875,11.986639976501465,442.171875,448.63006591796875,12.011839866638184,448.63006591796875
8,353802.125,353576.28125,545.606201171875,353576.28125,225.59671020507812,8.322148323059082,225.59671020507812,229.2703399658203,8.168651580810547,229.2703399658203,44063.44140625,43953.6015625,209.59788513183594,43953.6015625,109.84546661376953,5.958540439605713,109.84546661376953,111.68036651611328,5.608182907104492,111.68036651611328
9,11642.8251953125,11560.4921875,94.88713073730469,11560.4921875,82.35811614990234,5.249617099761963,82.35811614990234,83.52669525146484,4.804856300354004,83.52669525146484,1244.577880859375,1179.2197265625,34.11519241333008,1179.2197265625,65.3582763671875,4.7766804695129395,65.3582763671875,66.11284637451172,4.278380393981934,66.11284637451172
