"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.3315e-20,1.1749e-20,3.3333e-05,-1.7956e-21,3.3333e-05,1,0.0028284,-0.998,-0.998,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,4.6792e-20,2.4694e-20,3.3333e-05,-4.2117e-21,3.3333e-05,1,0.0056569,-0.996,-0.996,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,7.0268e-20,3.764e-20,3.3333e-05,-6.6277e-21,3.3333e-05,1,0.0084853,-0.994,-0.994,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,8.2899e-20,4.3104e-20,3.3333e-05,-7.2469e-21,3.3333e-05,1,0.011314,-0.992,-0.992,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,7.742e-20,3.6078e-20,3.3333e-05,-4.8662e-21,3.3333e-05,1,0.014142,-0.99,-0.99,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,6.1603e-20,2.6499e-20,3.3333e-05,-2.1529e-21,3.3333e-05,1,0.016971,-0.988,-0.988,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.9881e-20,1.2993e-20,3.3333e-05,1.072e-21,3.3333e-05,1,0.019799,-0.986,-0.986,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,-1.8413e-21,-5.1274e-22,3.3333e-05,4.2968e-21,3.3333e-05,1,0.022627,-0.984,-0.984,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,9.1699e-22,-5.7178e-21,3.3333e-05,1.4658e-21,3.3333e-05,1,0.025456,-0.982,-0.982,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.5501e-21,-4.6581e-21,3.3333e-05,-2.6965e-21,3.3333e-05,1,0.028284,-0.98,-0.98,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,4.1833e-21,-3.5984e-21,3.3333e-05,-6.8589e-21,3.3333e-05,1,0.031113,-0.978,-0.978,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,3.8281e-21,-5.2852e-21,3.3333e-05,-6.2928e-21,3.3333e-05,1,0.033941,-0.976,-0.976,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,3.2464e-21,-7.5207e-21,3.3333e-05,-4.5545e-21,3.3333e-05,1,0.03677,-0.974,-0.974,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,3.2796e-21,-9.8615e-21,3.3333e-05,-1.7126e-21,3.3333e-05,1,0.039598,-0.972,-0.972,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,8.4413e-21,-4.7781e-21,3.3333e-05,-7.9244e-22,3.3333e-05,1,0.042426,-0.97,-0.97,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.4808e-20,2.0492e-21,3.3333e-05,-3.2361e-22,3.3333e-05,1,0.045255,-0.968,-0.968,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.1174e-20,8.8763e-21,3.3333e-05,1.452e-22,3.3333e-05,1,0.048083,-0.966,-0.966,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.2726e-20,8.8041e-21,3.3333e-05,-5.815e-22,3.3333e-05,1,0.050912,-0.964,-0.964,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.9586e-20,3.1232e-21,3.3333e-05,-7.4122e-22,3.3333e-05,1,0.05374,-0.962,-0.962,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.6204e-20,-2.7665e-21,3.3333e-05,-7.7153e-22,3.3333e-05,1,0.056569,-0.96,-0.96,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.4351e-20,-5.54e-21,3.3333e-05,-4.7074e-22,3.3333e-05,1,0.059397,-0.958,-0.958,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.4096e-20,-6.8334e-21,3.3333e-05,6.2694e-22,3.3333e-05,1,0.062225,-0.956,-0.956,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.3843e-20,-9.2638e-21,3.3333e-05,2.0149e-21,3.3333e-05,1,0.065054,-0.954,-0.954,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.399e-20,-9.8309e-21,3.3333e-05,2.8585e-21,3.3333e-05,1,0.067882,-0.952,-0.952,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.4985e-20,-6.4542e-21,3.3333e-05,2.5499e-21,3.3333e-05,1,0.070711,-0.95,-0.95,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.4438e-20,-3.4896e-21,3.3333e-05,2.5655e-21,3.3333e-05,1,0.073539,-0.948,-0.948,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,1.0202e-20,-1.2515e-21,3.3333e-05,3.127e-21,3.3333e-05,1,0.076368,-0.946,-0.946,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,7.6522e-21,2.8994e-21,3.3333e-05,2.0405e-21,3.3333e-05,1,0.079196,-0.944,-0.944,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,5.1025e-21,7.0504e-21,3.3333e-05,9.5403e-22,3.3333e-05,1,0.082024,-0.942,-0.942,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,2.4634e-21,1.1099e-20,3.3333e-05,-1.4977e-22,3.3333e-05,1,0.084853,-0.94,-0.94,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,5.4532e-22,1.0125e-20,3.3333e-05,1.7053e-21,3.3333e-05,1,0.087681,-0.938,-0.938,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,-1.4132e-21,9.1823e-21,3.3333e-05,3.6102e-21,3.3333e-05,1,0.09051,-0.936,-0.936,0
-1.1447,-4.6175e-17,1.228e-16,1.1851e-15,2.5682e-17,8.6865e-17,0.00031416,0.0001,-3.3716e-21,8.2395e-21,3.3333e-05,5.5151e-21,3.3333e-05,1,0.093338,-0.934,-0.934,0
