"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-5.9282e-20,-2.1955e-20,3.3333e-05,6.3178e-22,3.3333e-05,1,0,0,-1,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,1.7086e-20,-2.7362e-20,3.3333e-05,-7.238e-22,3.3333e-05,1,0.002,0,-0.998,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,9.3457e-20,-3.2768e-20,3.3333e-05,-2.0794e-21,3.3333e-05,1,0.004,0,-0.996,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,1.6983e-19,-3.8174e-20,3.3333e-05,-3.435e-21,3.3333e-05,1,0.006,0,-0.994,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.4161e-19,-4.1728e-20,3.3333e-05,-4.6552e-21,3.3333e-05,1,0.008,0,-0.992,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.5587e-19,-2.2068e-20,3.3333e-05,-4.1775e-21,3.3333e-05,1,0.01,0,-0.99,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.7014e-19,-2.4068e-21,3.3333e-05,-3.6999e-21,3.3333e-05,1,0.012,0,-0.988,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.4401e-19,8.3908e-21,3.3333e-05,-2.0191e-21,3.3333e-05,1,0.014,0,-0.986,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.1349e-19,1.8222e-20,3.3333e-05,-2.0718e-22,3.3333e-05,1,0.016,0,-0.984,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,1.5769e-19,2.2026e-20,3.3333e-05,1.6423e-21,3.3333e-05,1,0.018,0,-0.982,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,5.3926e-20,1.4389e-20,3.3333e-05,3.5628e-21,3.3333e-05,1,0.02,0,-0.98,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-4.9842e-20,6.7531e-21,3.3333e-05,5.4834e-21,3.3333e-05,1,0.022,0,-0.978,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.0257e-19,2.1798e-21,3.3333e-05,7.0759e-21,3.3333e-05,1,0.024,0,-0.976,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.3355e-19,-1.0892e-21,3.3333e-05,8.5288e-21,3.3333e-05,1,0.026,0,-0.974,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.4294e-19,-4.7907e-21,3.3333e-05,9.1124e-21,3.3333e-05,1,0.028,0,-0.972,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.0743e-19,-9.3912e-21,3.3333e-05,7.8896e-21,3.3333e-05,1,0.03,0,-0.97,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-7.1918e-20,-1.3992e-20,3.3333e-05,6.6668e-21,3.3333e-05,1,0.032,0,-0.968,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-4.8739e-20,-1.891e-20,3.3333e-05,6.5528e-21,3.3333e-05,1,0.034,0,-0.966,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-3.1493e-20,-2.3981e-20,3.3333e-05,6.9724e-21,3.3333e-05,1,0.036,0,-0.964,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.7854e-20,-2.497e-20,3.3333e-05,6.9572e-21,3.3333e-05,1,0.038,0,-0.962,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-1.1712e-20,-1.7475e-20,3.3333e-05,6.0385e-21,3.3333e-05,1,0.04,0,-0.96,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,-5.5694e-21,-9.9811e-21,3.3333e-05,5.1198e-21,3.3333e-05,1,0.042,0,-0.958,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,2.3141e-20,-4.9482e-21,3.3333e-05,3.6979e-21,3.3333e-05,1,0.044,0,-0.956,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,6.2709e-20,-1.0998e-21,3.3333e-05,2.0341e-21,3.3333e-05,1,0.046,0,-0.954,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,8.7288e-20,6.1045e-22,3.3333e-05,8.4071e-22,3.3333e-05,1,0.048,0,-0.952,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,8.0715e-20,-2.1228e-21,3.3333e-05,6.2522e-22,3.3333e-05,1,0.05,0,-0.95,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,7.4142e-20,-4.856e-21,3.3333e-05,4.0974e-22,3.3333e-05,1,0.052,0,-0.948,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,5.5268e-20,-5.4718e-21,3.3333e-05,-1.7501e-22,3.3333e-05,1,0.054,0,-0.946,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,3.0475e-20,-5.0688e-21,3.3333e-05,-9.3743e-22,3.3333e-05,1,0.056,0,-0.944,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,1.2305e-20,-4.2993e-21,3.3333e-05,-8.9426e-22,3.3333e-05,1,0.058,0,-0.942,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,7.9009e-21,-2.768e-21,3.3333e-05,8.2303e-22,3.3333e-05,1,0.06,0,-0.94,0
-1.1447,-5.3333e-17,1.212e-16,4.6478e-15,2.339e-16,1.9254e-15,0.00031416,0.0001,3.4967e-21,-1.2367e-21,3.3333e-05,2.5403e-21,3.3333e-05,1,0.062,0,-0.938,0
