"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1575,-0.0019605,-0.0010258,0.035019,-0.050992,0.0029504,0.00031444,0.00010009,-6.0665e-08,-3.7749e-08,3.3581e-05,-7.5326e-08,3.3158e-05,1,0,0,-1,0
-1.1571,-0.0017862,-0.0032534,0.036202,-0.046963,0.00052665,0.00031428,0.00010004,-5.4387e-08,-1.0687e-07,3.356e-05,-6.8465e-08,3.3137e-05,1,0.002,0,-0.998,0
-1.1567,-0.0016118,-0.0054811,0.037386,-0.042935,-0.0018972,0.00031411,9.9984e-05,-4.8109e-08,-1.7599e-07,3.3538e-05,-6.1603e-08,3.3117e-05,1,0.004,0,-0.996,0
-1.1563,-0.0014375,-0.0077087,0.03857,-0.038906,-0.0043209,0.00031394,9.9931e-05,-4.1831e-08,-2.4511e-07,3.3516e-05,-5.4742e-08,3.3096e-05,1,0.006,0,-0.994,0
-1.1559,-0.0012257,-0.01012,0.039894,-0.035137,-0.0070104,0.00031376,9.9874e-05,-3.3083e-08,-3.2004e-07,3.3492e-05,-4.6074e-08,3.3075e-05,1,0.008,0,-0.992,0
-1.155,-0.00054483,-0.014831,0.042988,-0.034619,-0.01303,0.00031345,9.9774e-05,6.6202e-09,-4.6782e-07,3.3441e-05,-1.4764e-08,3.3045e-05,1,0.01,0,-0.99,0
-1.1541,0.00013611,-0.019543,0.046082,-0.034101,-0.019049,0.00031313,9.9673e-05,4.6324e-08,-6.156e-07,3.339e-05,1.6546e-08,3.3016e-05,1,0.012,0,-0.988,0
-1.1536,0.0018422,-0.021993,0.046856,-0.030096,-0.021287,0.00031297,9.9623e-05,1.0857e-07,-6.8967e-07,3.3356e-05,9.9478e-09,3.3009e-05,1,0.014,0,-0.986,0
-1.1532,0.0036602,-0.024197,0.047377,-0.025712,-0.023113,0.00031283,9.9578e-05,1.7327e-07,-7.557e-07,3.3323e-05,-7.8505e-10,3.3005e-05,1,0.016,0,-0.984,0
-1.1527,0.0052064,-0.026284,0.046986,-0.022356,-0.024075,0.00031269,9.9533e-05,2.3015e-07,-8.1692e-07,3.3287e-05,-1.5392e-08,3.3005e-05,1,0.018,0,-0.982,0
-1.1523,0.0062369,-0.028149,0.044865,-0.020954,-0.023397,0.00031256,9.9491e-05,2.7218e-07,-8.6899e-07,3.3243e-05,-3.7352e-08,3.3016e-05,1,0.02,0,-0.98,0
-1.1518,0.0072674,-0.030013,0.042744,-0.019552,-0.02272,0.00031243,9.9449e-05,3.1422e-07,-9.2107e-07,3.3199e-05,-5.9313e-08,3.3026e-05,1,0.022,0,-0.978,0
-1.1518,0.0090157,-0.030074,0.040483,-0.016392,-0.020431,0.00031248,9.9465e-05,3.7166e-07,-9.1726e-07,3.3192e-05,-7.9748e-08,3.3047e-05,1,0.024,0,-0.976,0
-1.152,0.01107,-0.029365,0.038163,-0.012484,-0.017457,0.00031261,9.9506e-05,4.3568e-07,-8.8965e-07,3.32e-05,-9.9535e-08,3.3071e-05,1,0.026,0,-0.974,0
-1.1522,0.012312,-0.028707,0.03643,-0.01033,-0.014985,0.00031272,9.9543e-05,4.7538e-07,-8.6551e-07,3.321e-05,-1.1567e-07,3.309e-05,1,0.028,0,-0.972,0
-1.1526,0.011869,-0.028152,0.035916,-0.011822,-0.013557,0.00031281,9.9571e-05,4.6457e-07,-8.4859e-07,3.3223e-05,-1.2423e-07,3.3099e-05,1,0.03,0,-0.97,0
-1.1529,0.011425,-0.027597,0.035401,-0.013314,-0.01213,0.0003129,9.9599e-05,4.5377e-07,-8.3166e-07,3.3237e-05,-1.3279e-07,3.3107e-05,1,0.032,0,-0.968,0
-1.1532,0.011478,-0.027169,0.034731,-0.012209,-0.010425,0.00031306,9.965e-05,4.5555e-07,-8.0669e-07,3.326e-05,-1.2308e-07,3.3124e-05,1,0.034,0,-0.966,0
-1.1536,0.01177,-0.026801,0.033985,-0.0098535,-0.0085872,0.00031325,9.971e-05,4.6339e-07,-7.7785e-07,3.3288e-05,-1.0457e-07,3.3145e-05,1,0.036,0,-0.964,0
-1.1536,0.011856,-0.026475,0.033452,-0.0084089,-0.0079531,0.00031331,9.9731e-05,4.6555e-07,-7.5249e-07,3.3304e-05,-8.7062e-08,3.3144e-05,1,0.038,0,-0.962,0
-1.153,0.011513,-0.026236,0.033363,-0.0088566,-0.0098205,0.00031312,9.9668e-05,4.5589e-07,-7.3437e-07,3.3299e-05,-7.1646e-08,3.3099e-05,1,0.04,0,-0.96,0
-1.1524,0.011171,-0.025997,0.033274,-0.0093043,-0.011688,0.00031292,9.9605e-05,4.4623e-07,-7.1625e-07,3.3293e-05,-5.623e-08,3.3053e-05,1,0.042,0,-0.958,0
-1.1523,0.010211,-0.02557,0.032215,-0.010449,-0.010706,0.00031292,9.9607e-05,4.1455e-07,-6.8848e-07,3.3294e-05,-5.0844e-08,3.3055e-05,1,0.044,0,-0.956,0
-1.1526,0.0089548,-0.025053,0.030688,-0.01193,-0.0083524,0.00031303,9.964e-05,3.7228e-07,-6.5606e-07,3.3297e-05,-5.0285e-08,3.3079e-05,1,0.046,0,-0.954,0
-1.1527,0.0081051,-0.024294,0.03001,-0.012216,-0.0071975,0.00031311,9.9668e-05,3.3961e-07,-6.2166e-07,3.3301e-05,-4.8679e-08,3.3097e-05,1,0.048,0,-0.952,0
