"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1433,0.00064379,0.0042395,-0.0028721,0.0043533,-0.0013941,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.1433,0.00064379,0.0042394,-0.0028721,0.0043533,-0.0013941,0.00031416,0.0001,-1.3927e-14,2.5675e-13,3.3333e-05,-2.2338e-13,3.3333e-05,1,0.0028284,-0.998,-0.998,0
-1.1433,0.0006438,0.0042394,-0.0028722,0.0043533,-0.0013941,0.00031416,0.0001,-2.7855e-14,5.1351e-13,3.3333e-05,-4.4676e-13,3.3333e-05,1,0.0056569,-0.996,-0.996,0
-1.1433,0.0006438,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-4.1783e-14,7.7026e-13,3.3333e-05,-6.7014e-13,3.3333e-05,1,0.0084853,-0.994,-0.994,0
-1.1433,0.00064381,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.6068e-13,1.1444e-12,3.3333e-05,-9.9102e-13,3.3333e-05,1,0.011314,-0.992,-0.992,0
-1.1433,0.00064383,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-1.1887e-12,1.7145e-12,3.3333e-05,-1.4747e-12,3.3333e-05,1,0.014142,-0.99,-0.99,0
-1.1433,0.00064385,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-1.9374e-12,2.2582e-12,3.3333e-05,-1.8652e-12,3.3333e-05,1,0.016971,-0.988,-0.988,0
-1.1433,0.00064386,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-2.564e-12,2.7615e-12,3.3333e-05,-2.1123e-12,3.3333e-05,1,0.019799,-0.986,-0.986,0
-1.1433,0.00064387,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.1905e-12,3.2647e-12,3.3333e-05,-2.3595e-12,3.3333e-05,1,0.022627,-0.984,-0.984,0
-1.1433,0.00064387,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.4013e-12,2.4692e-12,3.3333e-05,-2.3503e-12,3.3333e-05,1,0.025456,-0.982,-0.982,0
-1.1433,0.00064386,0.0042394,-0.0028722,0.0043532,-0.001394,0.00031416,0.0001,-3.5423e-12,1.4671e-12,3.3333e-05,-2.2988e-12,3.3333e-05,1,0.028284,-0.98,-0.98,0
-1.1433,0.00064385,0.0042394,-0.0028722,0.0043532,-0.001394,0.00031416,0.0001,-3.6834e-12,4.6509e-13,3.3333e-05,-2.2473e-12,3.3333e-05,1,0.031113,-0.978,-0.978,0
-1.1433,0.00064384,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.7601e-12,-3.6054e-13,3.3333e-05,-2.2138e-12,3.3333e-05,1,0.033941,-0.976,-0.976,0
-1.1433,0.00064384,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.8013e-12,-1.0661e-12,3.3333e-05,-2.1208e-12,3.3333e-05,1,0.03677,-0.974,-0.974,0
-1.1433,0.00064384,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.7479e-12,-1.421e-12,3.3333e-05,-1.773e-12,3.3333e-05,1,0.039598,-0.972,-0.972,0
-1.1433,0.00064384,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.4911e-12,-1.4736e-12,3.3333e-05,-1.4923e-12,3.3333e-05,1,0.042426,-0.97,-0.97,0
-1.1433,0.00064383,0.0042394,-0.0028722,0.0043532,-0.0013941,0.00031416,0.0001,-3.1864e-12,-1.4551e-12,3.3333e-05,-1.2275e-12,3.3333e-05,1,0.045255,-0.968,-0.968,0
-1.1433,0.00064382,0.0042394,-0.0028722,0.0043532,-0.001394,0.00031416,0.0001,-2.8817e-12,-1.4366e-12,3.3333e-05,-9.6269e-13,3.3333e-05,1,0.048083,-0.966,-0.966,0
