"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1392,0,0,-0.012841,-0.012662,-0.0039024,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.1392,-9.8999e-05,0.00029335,-0.012004,-0.013298,-0.0045879,0.00031416,0.0001,-6.253e-09,1.1397e-08,3.3332e-05,-2.719e-08,3.3338e-05,1,0.0028284,-0.998,-0.998,0
-1.1393,-0.000198,0.0005867,-0.011166,-0.013934,-0.0052735,0.00031417,0.0001,-1.2506e-08,2.2794e-08,3.3332e-05,-5.438e-08,3.3343e-05,1,0.0056569,-0.996,-0.996,0
-1.1393,-0.000297,0.00088005,-0.010329,-0.014569,-0.0059591,0.00031417,0.0001,-1.8759e-08,3.419e-08,3.3331e-05,-8.157e-08,3.3348e-05,1,0.0084853,-0.994,-0.994,0
-1.1394,-0.00045924,0.00097411,-0.0097731,-0.013817,-0.006408,0.00031418,0.00010001,-2.7091e-08,3.5796e-08,3.3325e-05,-1.0167e-07,3.3356e-05,1,0.011314,-0.992,-0.992,0
-1.1394,-0.00072707,0.00073545,-0.0096878,-0.010747,-0.0064616,0.00031419,0.00010001,-3.8893e-08,2.1055e-08,3.3313e-05,-1.0993e-07,3.3372e-05,1,0.014142,-0.99,-0.99,0
-1.1394,-0.00090334,0.00034891,-0.009769,-0.008315,-0.0063533,0.00031422,0.00010002,-4.631e-08,1.5327e-09,3.3304e-05,-1.1252e-07,3.3386e-05,1,0.016971,-0.988,-0.988,0
-1.1394,-0.00093872,-0.00026513,-0.010106,-0.0068661,-0.005996,0.00031426,0.00010003,-4.6979e-08,-2.5344e-08,3.3301e-05,-1.0639e-07,3.3398e-05,1,0.019799,-0.986,-0.986,0
-1.1394,-0.00097411,-0.00087917,-0.010444,-0.0054171,-0.0056387,0.0003143,0.00010005,-4.7648e-08,-5.222e-08,3.3298e-05,-1.0027e-07,3.3409e-05,1,0.022627,-0.984,-0.984,0
-1.1394,-0.00115,-0.0011276,-0.011055,-0.0052039,-0.0050272,0.00031435,0.00010006,-5.556e-08,-6.1921e-08,3.3303e-05,-1.0878e-07,3.3414e-05,1,0.025456,-0.982,-0.982,0
-1.1394,-0.0013451,-0.0012893,-0.011658,-0.0054127,-0.0044576,0.00031438,0.00010007,-6.4281e-08,-6.6887e-08,3.331e-05,-1.1823e-07,3.3413e-05,1,0.028284,-0.98,-0.98,0
-1.1394,-0.0015402,-0.001451,-0.01226,-0.0056216,-0.0038879,0.00031442,0.00010008,-7.3001e-08,-7.1853e-08,3.3317e-05,-1.2768e-07,3.3412e-05,1,0.031113,-0.978,-0.978,0
