"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1392,-0.012951,-0.001107,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,2.8899e-12,3.1995e-12,3.3333e-05,2.665e-13,3.3333e-05,1,0,0,-1,0
-1.1392,-0.012951,-0.001107,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,2.746e-12,4.7027e-12,3.3333e-05,3.3406e-13,3.3333e-05,1,0.002,0,-0.998,0
-1.1392,-0.012951,-0.001107,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,2.6021e-12,6.206e-12,3.3333e-05,4.0161e-13,3.3333e-05,1,0.004,0,-0.996,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,2.4582e-12,7.7093e-12,3.3333e-05,4.6917e-13,3.3333e-05,1,0.006,0,-0.994,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,2.2853e-12,9.1454e-12,3.3333e-05,5.3435e-13,3.3333e-05,1,0.008,0,-0.992,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,1.7495e-12,9.7396e-12,3.3333e-05,5.697e-13,3.3333e-05,1,0.01,0,-0.99,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,1.2137e-12,1.0334e-11,3.3333e-05,6.0506e-13,3.3333e-05,1,0.012,0,-0.988,0
-1.1392,-0.012951,-0.0011068,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,1.3128e-12,1.0728e-11,3.3333e-05,4.7347e-13,3.3333e-05,1,0.014,0,-0.986,0
-1.1392,-0.012951,-0.0011068,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,1.4812e-12,1.11e-11,3.3333e-05,3.2366e-13,3.3333e-05,1,0.016,0,-0.984,0
-1.1392,-0.012951,-0.0011068,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,1.6754e-12,1.0988e-11,3.3333e-05,3.3234e-13,3.3333e-05,1,0.018,0,-0.982,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,1.9185e-12,9.9554e-12,3.3333e-05,6.4183e-13,3.3333e-05,1,0.02,0,-0.98,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,2.1616e-12,8.9226e-12,3.3333e-05,9.5134e-13,3.3333e-05,1,0.022,0,-0.978,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014574,-0.01101,0.00031416,0.0001,2.0048e-12,8.9421e-12,3.3333e-05,8.1821e-13,3.3333e-05,1,0.024,0,-0.976,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014573,-0.01101,0.00031416,0.0001,1.6778e-12,9.4097e-12,3.3333e-05,4.9657e-13,3.3333e-05,1,0.026,0,-0.974,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014573,-0.01101,0.00031416,0.0001,1.4518e-12,9.4061e-12,3.3333e-05,2.9546e-13,3.3333e-05,1,0.028,0,-0.972,0
-1.1392,-0.012951,-0.0011069,-0.0057337,0.014573,-0.01101,0.00031416,0.0001,1.4358e-12,8.423e-12,3.3333e-05,3.4481e-13,3.3333e-05,1,0.03,0,-0.97,0
-1.1392,-0.012951,-0.001107,-0.0057338,0.014573,-0.01101,0.00031416,0.0001,1.4198e-12,7.4398e-12,3.3333e-05,3.9416e-13,3.3333e-05,1,0.032,0,-0.968,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014573,-0.01101,0.00031416,0.0001,1.2084e-12,7.1616e-12,3.3333e-05,4.8784e-13,3.3333e-05,1,0.034,0,-0.966,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,9.0301e-13,7.2225e-12,3.3333e-05,6.0285e-13,3.3333e-05,1,0.036,0,-0.964,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,7.9469e-13,7.2613e-12,3.3333e-05,6.8247e-13,3.3333e-05,1,0.038,0,-0.962,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,1.0959e-12,7.2544e-12,3.3333e-05,6.8857e-13,3.3333e-05,1,0.04,0,-0.96,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,1.3972e-12,7.2475e-12,3.3333e-05,6.9466e-13,3.3333e-05,1,0.042,0,-0.958,0
-1.1392,-0.012951,-0.0011069,-0.0057338,0.014574,-0.01101,0.00031416,0.0001,1.9644e-12,7.2482e-12,3.3333e-05,8.4904e-13,3.3333e-05,1,0.044,0,-0.956,0
