"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1433,0.00064389,0.0042394,-0.0028722,0.0043533,-0.001394,0.00031416,0.0001,1.4058e-12,1.0661e-13,3.3333e-05,-1.9604e-13,3.3333e-05,1,0,0,-1,0
-1.1433,0.00064391,0.0042394,-0.0028723,0.0043533,-0.001394,0.00031416,0.0001,1.1295e-12,-1.556e-13,3.3333e-05,-2.1019e-13,3.3333e-05,1,0.002,0,-0.998,0
-1.1433,0.00064393,0.0042394,-0.0028723,0.0043533,-0.001394,0.00031416,0.0001,8.5319e-13,-4.1781e-13,3.3333e-05,-2.2434e-13,3.3333e-05,1,0.004,0,-0.996,0
-1.1433,0.00064395,0.0042394,-0.0028723,0.0043533,-0.001394,0.00031416,0.0001,5.7691e-13,-6.8001e-13,3.3333e-05,-2.3848e-13,3.3333e-05,1,0.006,0,-0.994,0
-1.1433,0.00064396,0.0042394,-0.0028724,0.0043533,-0.001394,0.00031416,0.0001,2.6762e-13,-9.4541e-13,3.3333e-05,-2.4371e-13,3.3333e-05,1,0.008,0,-0.992,0
-1.1433,0.00064396,0.0042394,-0.0028724,0.0043533,-0.001394,0.00031416,0.0001,-4.5527e-13,-1.2507e-12,3.3333e-05,-1.3713e-13,3.3333e-05,1,0.01,0,-0.99,0
-1.1433,0.00064396,0.0042394,-0.0028724,0.0043533,-0.001394,0.00031416,0.0001,-1.1782e-12,-1.5559e-12,3.3333e-05,-3.0557e-14,3.3333e-05,1,0.012,0,-0.988,0
-1.1433,0.00064394,0.0042394,-0.0028724,0.0043533,-0.001394,0.00031416,0.0001,-1.5073e-12,-1.7588e-12,3.3333e-05,1.6011e-13,3.3333e-05,1,0.014,0,-0.986,0
-1.1433,0.00064392,0.0042394,-0.0028724,0.0043533,-0.001394,0.00031416,0.0001,-1.7935e-12,-1.9506e-12,3.3333e-05,3.5994e-13,3.3333e-05,1,0.016,0,-0.984,0
-1.1433,0.0006439,0.0042394,-0.0028723,0.0043533,-0.001394,0.00031416,0.0001,-2.0889e-12,-2.0918e-12,3.3333e-05,3.9888e-13,3.3333e-05,1,0.018,0,-0.982,0
-1.1433,0.00064388,0.0042394,-0.0028723,0.0043533,-0.001394,0.00031416,0.0001,-2.4018e-12,-2.1372e-12,3.3333e-05,1.3239e-13,3.3333e-05,1,0.02,0,-0.98,0
-1.1433,0.00064386,0.0042394,-0.0028723,0.0043533,-0.0013941,0.00031416,0.0001,-2.7147e-12,-2.1827e-12,3.3333e-05,-1.341e-13,3.3333e-05,1,0.022,0,-0.978,0
-1.1433,0.00064386,0.0042394,-0.0028723,0.0043533,-0.0013941,0.00031416,0.0001,-2.466e-12,-2.096e-12,3.3333e-05,-2.3647e-13,3.3333e-05,1,0.024,0,-0.976,0
