"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1448,0,0,0.0005919,0.0090323,-0.00032724,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.1447,0.00010116,0.00024984,0.00092855,0.008683,-0.0009195,0.00031412,9.9988e-05,4.1231e-09,8.8417e-09,3.333e-05,4.6479e-09,3.3327e-05,1,0.0028284,-0.998,-0.998,0
-1.1447,0.00020233,0.00049968,0.0012652,0.0083337,-0.0015118,0.00031408,9.9976e-05,8.2464e-09,1.7684e-08,3.3327e-05,9.2959e-09,3.3321e-05,1,0.0056569,-0.996,-0.996,0
-1.1446,0.0003035,0.00074952,0.0016019,0.0079844,-0.002104,0.00031404,9.9964e-05,1.2369e-08,2.6525e-08,3.3324e-05,1.3944e-08,3.3314e-05,1,0.0084853,-0.994,-0.994,0
-1.1445,0.00046602,0.0010357,0.00183,0.0076542,-0.0026502,0.000314,9.9949e-05,1.8822e-08,3.6558e-08,3.3317e-05,1.658e-08,3.3309e-05,1,0.011314,-0.992,-0.992,0
-1.1443,0.00073097,0.0013826,0.0018771,0.007356,-0.0031193,0.00031394,9.9929e-05,2.9165e-08,4.8578e-08,3.3305e-05,1.5858e-08,3.3306e-05,1,0.014142,-0.99,-0.99,0
-1.1442,0.0011269,0.0017201,0.0018712,0.006641,-0.003482,0.00031388,9.991e-05,4.3519e-08,5.9814e-08,3.3292e-05,1.5121e-08,3.3305e-05,1,0.016971,-0.988,-0.988,0
-1.1441,0.0017244,0.002043,0.0017839,0.0052847,-0.003681,0.00031382,9.9893e-05,6.4045e-08,6.9842e-08,3.3276e-05,1.4359e-08,3.3308e-05,1,0.019799,-0.986,-0.986,0
-1.144,0.0023219,0.002366,0.0016966,0.0039284,-0.0038799,0.00031377,9.9876e-05,8.4571e-08,7.987e-08,3.3259e-05,1.3597e-08,3.3311e-05,1,0.022627,-0.984,-0.984,0
-1.1441,0.0027171,0.0019185,0.00092209,0.0030609,-0.0028621,0.00031381,9.9888e-05,9.5456e-08,6.3525e-08,3.326e-05,2.352e-08,3.332e-05,1,0.025456,-0.982,-0.982,0
-1.1442,0.0029897,0.0013863,4.1029e-05,0.0024158,-0.0017007,0.00031385,9.9903e-05,1.0178e-07,4.403e-08,3.3263e-05,3.4954e-08,3.3329e-05,1,0.028284,-0.98,-0.98,0
-1.1443,0.0032623,0.00085404,-0.00084005,0.0017707,-0.0005393,0.0003139,9.9917e-05,1.0811e-07,2.4535e-08,3.3266e-05,4.6389e-08,3.3338e-05,1,0.031113,-0.978,-0.978,0
-1.1444,0.0029054,0.0003593,-0.0012951,0.0024218,0.00036541,0.00031395,9.9932e-05,9.1753e-08,1.0007e-08,3.328e-05,5.5482e-08,3.3336e-05,1,0.033941,-0.976,-0.976,0
-1.1446,0.0024214,-7.4102e-05,-0.0016925,0.0037102,0.0011954,0.00031399,9.9946e-05,7.1438e-08,-1.2974e-09,3.3296e-05,6.4406e-08,3.3331e-05,1,0.03677,-0.974,-0.974,0
-1.1446,0.0019084,-0.00028792,-0.0021842,0.0065816,0.0019205,0.000314,9.9951e-05,5.2586e-08,-3.3734e-09,3.3312e-05,7.4444e-08,3.3319e-05,1,0.039598,-0.972,-0.972,0
-1.1445,0.0013315,0.0002162,-0.001922,0.0087602,0.001224,0.00031393,9.9928e-05,3.3881e-08,1.7255e-08,3.3314e-05,7.3579e-08,3.3299e-05,1,0.042426,-0.97,-0.97,0
-1.1443,0.00073956,0.00088897,-0.0014827,0.010776,0.00019352,0.00031384,9.99e-05,1.5211e-08,4.3216e-08,3.3314e-05,7.0153e-08,3.3277e-05,1,0.045255,-0.968,-0.968,0
-1.1441,0.00014765,0.0015617,-0.0010435,0.012792,-0.0008369,0.00031375,9.9871e-05,-3.459e-09,6.9176e-08,3.3313e-05,6.6727e-08,3.3254e-05,1,0.048083,-0.966,-0.966,0
-1.1441,0.00020887,0.0015957,-0.00065513,0.012307,-0.001191,0.00031377,9.9875e-05,-1.1648e-10,6.5039e-08,3.3311e-05,6.2018e-08,3.326e-05,1,0.050912,-0.964,-0.964,0
-1.1442,0.00033177,0.0015341,-0.00035638,0.011606,-0.0013384,0.00031381,9.9888e-05,5.7913e-09,5.4537e-08,3.3307e-05,5.6501e-08,3.3275e-05,1,0.05374,-0.962,-0.962,0
-1.1442,0.00046255,0.0014913,-3.0097e-05,0.010883,-0.0015267,0.00031385,9.9901e-05,1.2227e-08,4.4631e-08,3.3302e-05,5.0573e-08,3.329e-05,1,0.056569,-0.96,-0.96,0
-1.1444,0.00046606,0.0011369,5.7668e-05,0.010373,-0.0010834,0.00031393,9.9926e-05,1.3459e-08,2.8715e-08,3.3302e-05,4.9512e-08,3.3311e-05,1,0.059397,-0.958,-0.958,0
-1.1448,0.00040557,0.00038248,-0.0001779,0.0098699,0.00022861,0.00031406,9.9969e-05,1.3548e-08,4.642e-09,3.3314e-05,5.0261e-08,3.3333e-05,1,0.062225,-0.956,-0.956,0
-1.1451,0.00038924,-0.00042035,-0.00046142,0.0092265,0.0016757,0.0003142,0.00010001,1.639e-08,-2.0646e-08,3.3329e-05,4.891e-08,3.3353e-05,1,0.065054,-0.954,-0.954,0
-1.1454,0.00039682,-0.0010121,-0.00073882,0.0088224,0.0027325,0.00031429,0.00010004,1.9341e-08,-3.8204e-08,3.3338e-05,4.6514e-08,3.3367e-05,1,0.067882,-0.952,-0.952,0
-1.1454,0.00045498,-0.0011569,-0.0010033,0.0089245,0.0029635,0.00031428,0.00010004,2.2527e-08,-3.9398e-08,3.3334e-05,4.1905e-08,3.3368e-05,1,0.070711,-0.95,-0.95,0
-1.1454,0.00053172,-0.0011406,-0.0010376,0.0086489,0.0028913,0.00031426,0.00010003,2.5516e-08,-3.4869e-08,3.3329e-05,3.6677e-08,3.3367e-05,1,0.073539,-0.948,-0.948,0
-1.1452,0.00067158,-0.00066492,-0.00046122,0.0074746,0.001926,0.0003142,0.00010001,2.9316e-08,-1.462e-08,3.3322e-05,2.9743e-08,3.3359e-05,1,0.076368,-0.946,-0.946,0
-1.1449,0.000896,4.7303e-05,0.00019608,0.0067473,0.00035481,0.00031408,9.9975e-05,4.0548e-08,1.0651e-08,3.3309e-05,2.2268e-08,3.3342e-05,1,0.079196,-0.944,-0.944,0
-1.1446,0.0011204,0.00075955,0.00085339,0.0060199,-0.0012165,0.00031396,9.9938e-05,5.178e-08,3.5923e-08,3.3296e-05,1.4792e-08,3.3325e-05,1,0.082024,-0.942,-0.942,0
-1.1443,0.0013506,0.00148,0.0015178,0.0052636,-0.0027951,0.00031385,9.9901e-05,6.3127e-08,6.1478e-08,3.3282e-05,7.3561e-09,3.3308e-05,1,0.084853,-0.94,-0.94,0
-1.1442,0.0014799,0.0016465,0.00088322,0.0047957,-0.0025794,0.0003138,9.9887e-05,6.3307e-08,5.9258e-08,3.3272e-05,9.6738e-09,3.3307e-05,1,0.087681,-0.938,-0.938,0
-1.144,0.001589,0.0017994,0.00021476,0.0043894,-0.0023135,0.00031376,9.9873e-05,6.2568e-08,5.6177e-08,3.3262e-05,1.2222e-08,3.3307e-05,1,0.09051,-0.936,-0.936,0
-1.1439,0.0016982,0.0019523,-0.00045369,0.0039831,-0.0020475,0.00031372,9.986e-05,6.1828e-08,5.3096e-08,3.3253e-05,1.477e-08,3.3306e-05,1,0.093338,-0.934,-0.934,0
-1.144,0.0017173,0.0017841,-0.00072435,0.0049051,-0.0015388,0.00031374,9.9867e-05,5.5451e-08,4.8504e-08,3.3256e-05,2.4557e-08,3.3308e-05,1,0.096167,-0.932,-0.932,0
-1.1441,0.0016637,0.00178,-0.00089093,0.0070316,-0.001008,0.00031378,9.9878e-05,4.824e-08,5.4391e-08,3.3263e-05,3.6214e-08,3.3309e-05,1,0.098995,-0.93,-0.93,0
