"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1449,-0.00012453,0.00053048,0.00068359,0.0075988,-0.00026257,0.00031418,0.00010001,-4.6699e-09,1.739e-08,3.3352e-05,-6.132e-09,3.332e-05,1,0,0,-1,0
-1.1449,-0.00023106,0.0008044,0.00069461,0.0068165,-0.0001079,0.0003142,0.00010001,-8.0563e-09,2.668e-08,3.3362e-05,-8.8439e-09,3.3316e-05,1,0.002,0,-0.998,0
-1.145,-0.00033759,0.0010783,0.00070562,0.0060341,4.6785e-05,0.00031423,0.00010002,-1.1443e-08,3.597e-08,3.3371e-05,-1.1556e-08,3.3313e-05,1,0.004,0,-0.996,0
-1.145,-0.00044411,0.0013523,0.00071664,0.0052518,0.00020146,0.00031425,0.00010003,-1.4829e-08,4.526e-08,3.3381e-05,-1.4268e-08,3.3309e-05,1,0.006,0,-0.994,0
-1.1451,-0.00053784,0.001605,0.00073137,0.0044845,0.0003308,0.00031427,0.00010004,-1.7683e-08,5.3851e-08,3.3389e-05,-1.6566e-08,3.3306e-05,1,0.008,0,-0.992,0
-1.145,-0.00047113,0.0015918,0.00079263,0.0039058,0.00014254,0.00031426,0.00010003,-1.3866e-08,5.368e-08,3.3386e-05,-1.3673e-08,3.3305e-05,1,0.01,0,-0.99,0
-1.145,-0.00040443,0.0015786,0.00085389,0.003327,-4.5717e-05,0.00031424,0.00010003,-1.0049e-08,5.3509e-08,3.3383e-05,-1.078e-08,3.3304e-05,1,0.012,0,-0.988,0
-1.1449,-0.00020038,0.0015726,0.0009714,0.0030388,-0.00035804,0.00031421,0.00010002,-3.194e-09,5.425e-08,3.3374e-05,-7.0596e-09,3.3306e-05,1,0.014,0,-0.986,0
-1.1449,1.8653e-05,0.0015674,0.001095,0.0027824,-0.0006839,0.00031418,0.00010001,3.9927e-09,5.5092e-08,3.3364e-05,-3.2488e-09,3.3308e-05,1,0.016,0,-0.984,0
-1.1448,0.00027294,0.0014962,0.0012411,0.0025089,-0.0011341,0.00031414,9.9995e-05,1.2674e-08,5.3804e-08,3.3353e-05,1.4685e-09,3.3309e-05,1,0.018,0,-0.982,0
-1.1446,0.00059412,0.0012998,0.0014296,0.0022031,-0.0018204,0.00031408,9.9976e-05,2.419e-08,4.8477e-08,3.3338e-05,7.906e-09,3.3308e-05,1,0.02,0,-0.98,0
-1.1444,0.00091532,0.0011034,0.0016182,0.0018972,-0.0025067,0.00031402,9.9957e-05,3.5707e-08,4.3149e-08,3.3324e-05,1.4344e-08,3.3308e-05,1,0.022,0,-0.978,0
-1.1444,0.0012272,0.0008468,0.0016084,0.0014129,-0.0027456,0.000314,9.9949e-05,4.7097e-08,3.5931e-08,3.3318e-05,2.3885e-08,3.3306e-05,1,0.024,0,-0.976,0
-1.1443,0.0015351,0.00056456,0.0015141,0.00085252,-0.0027939,0.00031399,9.9945e-05,5.8435e-08,2.7908e-08,3.3317e-05,3.4749e-08,3.3305e-05,1,0.026,0,-0.974,0
-1.1443,0.0017876,0.00030872,0.0012791,0.00019494,-0.002716,0.00031397,9.994e-05,6.7557e-08,2.0337e-08,3.3316e-05,4.1894e-08,3.3302e-05,1,0.028,0,-0.972,0
-1.1442,0.0019247,0.00010771,0.00075209,-0.00066469,-0.0023758,0.00031395,9.9933e-05,7.2076e-08,1.3704e-08,3.3315e-05,4.1311e-08,3.3297e-05,1,0.03,0,-0.97,0
-1.1441,0.0020619,-9.3301e-05,0.00022501,-0.0015243,-0.0020356,0.00031392,9.9925e-05,7.6595e-08,7.0716e-09,3.3314e-05,4.0728e-08,3.3292e-05,1,0.032,0,-0.968,0
-1.1441,0.0020727,-0.00021728,-0.00010838,-0.00185,-0.0016631,0.00031393,9.9928e-05,7.781e-08,1.8939e-09,3.3317e-05,3.9783e-08,3.3292e-05,1,0.034,0,-0.966,0
-1.1442,0.0020227,-0.0003042,-0.00034859,-0.0019186,-0.001275,0.00031396,9.9936e-05,7.7435e-08,-2.5839e-09,3.3322e-05,3.8663e-08,3.3293e-05,1,0.036,0,-0.964,0
-1.1442,0.0019141,-0.00041482,-0.00057422,-0.0015352,-0.00093656,0.00031398,9.9942e-05,7.4029e-08,-7.4677e-09,3.3326e-05,3.6385e-08,3.3294e-05,1,0.038,0,-0.962,0
-1.1442,0.0016836,-0.0005747,-0.00076958,-0.00021203,-0.00070131,0.00031398,9.9943e-05,6.4324e-08,-1.3196e-08,3.3328e-05,3.1698e-08,3.3293e-05,1,0.04,0,-0.96,0
-1.1443,0.0014531,-0.00073458,-0.00096494,0.0011111,-0.00046606,0.00031398,9.9944e-05,5.4618e-08,-1.8923e-08,3.333e-05,2.7011e-08,3.3292e-05,1,0.042,0,-0.958,0
-1.1442,0.0012608,-0.00066235,-0.0010612,0.0022271,-0.00039025,0.00031398,9.9942e-05,4.6424e-08,-1.7337e-08,3.3327e-05,2.416e-08,3.3294e-05,1,0.044,0,-0.956,0
-1.1442,0.0010869,-0.00047845,-0.0011097,0.0032435,-0.00039116,0.00031397,9.9939e-05,3.8957e-08,-1.2232e-08,3.3321e-05,2.2192e-08,3.3298e-05,1,0.046,0,-0.954,0
-1.1442,0.00089881,-0.00030226,-0.0010314,0.0040677,-0.00050762,0.00031396,9.9936e-05,3.1564e-08,-6.7674e-09,3.3315e-05,2.2903e-08,3.3301e-05,1,0.048,0,-0.952,0
-1.1442,0.00068132,-0.00014212,-0.00068964,0.0044926,-0.00086423,0.00031395,9.9933e-05,2.4322e-08,-5.5467e-10,3.331e-05,2.9179e-08,3.3304e-05,1,0.05,0,-0.95,0
-1.1442,0.00046385,1.8028e-05,-0.00034789,0.0049175,-0.0012208,0.00031394,9.993e-05,1.708e-08,5.6579e-09,3.3304e-05,3.5454e-08,3.3307e-05,1,0.052,0,-0.948,0
-1.1442,0.00034661,5.1661e-05,3.0348e-05,0.0050536,-0.0016857,0.00031392,9.9925e-05,1.2673e-08,7.3654e-09,3.3303e-05,3.9218e-08,3.3304e-05,1,0.054,0,-0.946,0
-1.1441,0.00027762,2.4417e-05,0.00042613,0.0050508,-0.0022027,0.00031391,9.9919e-05,9.629e-09,6.9051e-09,3.3303e-05,4.1773e-08,3.3299e-05,1,0.056,0,-0.944,0
-1.1441,0.00020919,5.7565e-05,0.00053992,0.0049578,-0.0023646,0.0003139,9.9917e-05,7.269e-09,7.2631e-09,3.3304e-05,4.4139e-08,3.3296e-05,1,0.058,0,-0.942,0
-1.1442,0.00014194,0.00021621,6.7698e-05,0.0046774,-0.0017888,0.00031392,9.9925e-05,6.3299e-09,9.3216e-09,3.3308e-05,4.6111e-08,3.3298e-05,1,0.06,0,-0.94,0
-1.1442,7.4688e-05,0.00037486,-0.00040453,0.004397,-0.001213,0.00031394,9.9932e-05,5.3909e-09,1.138e-08,3.3312e-05,4.8084e-08,3.33e-05,1,0.062,0,-0.938,0
-1.1442,-1.7421e-05,0.00046677,-0.0006341,0.0041282,-0.00088719,0.00031396,9.9936e-05,3.1834e-09,1.2867e-08,3.3314e-05,4.6785e-08,3.3301e-05,1,0.064,0,-0.936,0
-1.1443,-0.00012149,0.00052656,-0.00074688,0.0038649,-0.00068162,0.00031397,9.9939e-05,3.6575e-10,1.4079e-08,3.3315e-05,4.3912e-08,3.3303e-05,1,0.066,0,-0.934,0
-1.1443,-0.00023041,0.00060186,-0.00097189,0.0036105,-0.00029944,0.00031398,9.9944e-05,-3.7734e-09,1.6371e-08,3.3315e-05,4.2082e-08,3.3307e-05,1,0.068,0,-0.932,0
-1.1444,-0.0003494,0.00070936,-0.0014301,0.0033743,0.00044974,0.00031402,9.9954e-05,-1.0659e-08,2.0905e-08,3.3315e-05,4.2422e-08,3.3315e-05,1,0.07,0,-0.93,0
-1.1445,-0.00046839,0.00081687,-0.0018883,0.003138,0.0011989,0.00031405,9.9964e-05,-1.7544e-08,2.544e-08,3.3315e-05,4.2762e-08,3.3323e-05,1,0.072,0,-0.928,0
-1.1445,-0.00058046,0.0010592,-0.0022946,0.0030332,0.0017376,0.00031407,9.9971e-05,-2.095e-08,3.2903e-08,3.3313e-05,4.0205e-08,3.333e-05,1,0.074,0,-0.926,0
