"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00031416,1,0,-1,-1,0
0.00031428,1,0.0028284,-0.998,-0.998,0
0.00031439,1,0.0056569,-0.996,-0.996,0
0.00031451,1,0.0084853,-0.994,-0.994,0
0.0003146,1,0.011314,-0.992,-0.992,0
0.00031463,1,0.014142,-0.99,-0.99,0
0.00031465,1,0.016971,-0.988,-0.988,0
0.00031463,1,0.019799,-0.986,-0.986,0
0.00031462,1,0.022627,-0.984,-0.984,0
0.00031463,1,0.025456,-0.982,-0.982,0
0.00031464,1,0.028284,-0.98,-0.98,0
0.00031466,1,0.031113,-0.978,-0.978,0
0.00031465,1,0.033941,-0.976,-0.976,0
0.00031465,1,0.03677,-0.974,-0.974,0
0.00031473,1,0.039598,-0.972,-0.972,0
0.00031471,1,0.042426,-0.97,-0.97,0
0.00031467,1,0.045255,-0.968,-0.968,0
0.00031463,1,0.048083,-0.966,-0.966,0
0.00031472,1,0.050912,-0.964,-0.964,0
0.00031485,1,0.05374,-0.962,-0.962,0
0.00031499,1,0.056569,-0.96,-0.96,0
0.00031508,1,0.059397,-0.958,-0.958,0
0.00031512,1,0.062225,-0.956,-0.956,0
0.00031517,1,0.065054,-0.954,-0.954,0
0.00031514,1,0.067882,-0.952,-0.952,0
0.00031493,1,0.070711,-0.95,-0.95,0
0.00031474,1,0.073539,-0.948,-0.948,0
0.00031461,1,0.076368,-0.946,-0.946,0
0.00031458,1,0.079196,-0.944,-0.944,0
0.00031454,1,0.082024,-0.942,-0.942,0
0.00031451,1,0.084853,-0.94,-0.94,0
0.00031474,1,0.087681,-0.938,-0.938,0
0.00031497,1,0.09051,-0.936,-0.936,0
0.0003152,1,0.093338,-0.934,-0.934,0
0.00031529,1,0.096167,-0.932,-0.932,0
0.00031537,1,0.098995,-0.93,-0.93,0
0.00031545,1,0.10182,-0.928,-0.928,0
0.00031541,1,0.10465,-0.926,-0.926,0
0.00031531,1,0.10748,-0.924,-0.924,0
0.00031521,1,0.11031,-0.922,-0.922,0
0.00031505,1,0.11314,-0.92,-0.92,0
0.0003148,1,0.11597,-0.918,-0.918,0
0.00031456,1,0.11879,-0.916,-0.916,0
0.00031439,1,0.12162,-0.914,-0.914,0
0.00031428,1,0.12445,-0.912,-0.912,0
0.00031417,1,0.12728,-0.91,-0.91,0
0.00031409,1,0.13011,-0.908,-0.908,0
0.00031422,1,0.13294,-0.906,-0.906,0
0.00031428,1,0.13576,-0.904,-0.904,0
0.0003143,1,0.13859,-0.902,-0.902,0
0.0003143,1,0.14142,-0.9,-0.9,0
0.00031429,1,0.14425,-0.898,-0.898,0
0.00031428,1,0.14708,-0.896,-0.896,0
0.00031421,1,0.14991,-0.894,-0.894,0
0.00031415,1,0.15274,-0.892,-0.892,0
0.0003141,1,0.15556,-0.89,-0.89,0
0.00031392,1,0.15839,-0.888,-0.888,0
0.00031401,1,0.16122,-0.886,-0.886,0
0.00031412,1,0.16405,-0.884,-0.884,0
0.00031413,1,0.16688,-0.882,-0.882,0
0.00031403,1,0.16971,-0.88,-0.88,0
0.00031416,1,0.17253,-0.878,-0.878,0
0.0003144,1,0.17536,-0.876,-0.876,0
0.00031463,1,0.17819,-0.874,-0.874,0
0.00031486,1,0.18102,-0.872,-0.872,0
0.000315,1,0.18385,-0.87,-0.87,0
0.00031498,1,0.18668,-0.868,-0.868,0
0.00031498,1,0.1895,-0.866,-0.866,0
0.00031498,1,0.19233,-0.864,-0.864,0
0.00031483,1,0.19516,-0.862,-0.862,0
0.00031472,1,0.19799,-0.86,-0.86,0
0.00031462,1,0.20082,-0.858,-0.858,0
0.00031439,1,0.20365,-0.856,-0.856,0
0.00031412,1,0.20648,-0.854,-0.854,0
0.00031402,1,0.2093,-0.852,-0.852,0
0.00031393,1,0.21213,-0.85,-0.85,0
0.00031379,1,0.21496,-0.848,-0.848,0
0.00031364,1,0.21779,-0.846,-0.846,0
0.00031365,1,0.22062,-0.844,-0.844,0
0.00031379,1,0.22345,-0.842,-0.842,0
0.00031393,1,0.22627,-0.84,-0.84,0
0.00031404,1,0.2291,-0.838,-0.838,0
0.00031409,1,0.23193,-0.836,-0.836,0
0.00031411,1,0.23476,-0.834,-0.834,0
0.00031412,1,0.23759,-0.832,-0.832,0
0.00031405,1,0.24042,-0.83,-0.83,0
0.00031398,1,0.24324,-0.828,-0.828,0
0.00031399,1,0.24607,-0.826,-0.826,0
