"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.155,-0.0080431,0.0012001,-0.0026654,0.021491,0.033205,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.155,-0.008043,0.0012002,-0.0026654,0.021491,0.033205,0.00031416,0.0001,2.7324e-12,1.9006e-12,3.3333e-05,-3.2995e-13,3.3333e-05,1,0.0028284,-0.998,-0.998,0
-1.155,-0.0080429,0.0012003,-0.0026654,0.021491,0.033205,0.00031416,0.0001,5.4648e-12,3.8013e-12,3.3333e-05,-6.5992e-13,3.3333e-05,1,0.0056569,-0.996,-0.996,0
-1.155,-0.0080429,0.0012004,-0.0026655,0.021491,0.033206,0.00031416,0.0001,8.1972e-12,5.702e-12,3.3333e-05,-9.8987e-13,3.3333e-05,1,0.0084853,-0.994,-0.994,0
-1.155,-0.0080428,0.0012004,-0.0026655,0.021491,0.033206,0.00031416,0.0001,9.3815e-12,5.9021e-12,3.3333e-05,-8.0441e-13,3.3333e-05,1,0.011314,-0.992,-0.992,0
-1.155,-0.0080428,0.0012004,-0.0026654,0.02149,0.033206,0.00031416,0.0001,7.9811e-12,3.2631e-12,3.3333e-05,2.4156e-13,3.3333e-05,1,0.014142,-0.99,-0.99,0
-1.155,-0.0080429,0.0012002,-0.0026654,0.02149,0.033206,0.00031416,0.0001,6.0162e-12,-3.9743e-13,3.3333e-05,1.4736e-12,3.3333e-05,1,0.016971,-0.988,-0.988,0
-1.155,-0.008043,0.0012,-0.0026653,0.02149,0.033206,0.00031416,0.0001,3.1829e-12,-5.6294e-12,3.3333e-05,2.9918e-12,3.3333e-05,1,0.019799,-0.986,-0.986,0
-1.155,-0.008043,0.0011998,-0.0026652,0.02149,0.033206,0.00031416,0.0001,3.495e-13,-1.0861e-11,3.3333e-05,4.51e-12,3.3333e-05,1,0.022627,-0.984,-0.984,0
-1.155,-0.0080431,0.0011998,-0.0026653,0.02149,0.033206,0.00031416,0.0001,1.1206e-12,-8.5244e-12,3.3333e-05,3.8994e-12,3.3333e-05,1,0.025456,-0.982,-0.982,0
