"analytic radiation flux density","radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,4.447635e-12,1,0,0,-1,0
0,7.670037e-12,1,0.001999974,0,-0.998,0
0,1.089254e-11,1,0.004000008,0,-0.996,0
0,1.411494e-11,1,0.005999982,0,-0.994,0
0,1.75606e-11,1,0.008000016,0,-0.992,0
0,2.380298e-11,1,0.00999999,0,-0.99,0
0,3.004554e-11,1,0.01200002,0,-0.988,0
0,3.871299e-11,1,0.014,0,-0.986,0
0,4.764497e-11,1,0.01599997,0,-0.984,0
0,5.890094e-11,1,0.01800001,0,-0.982,0
0,7.456725e-11,1,0.01999998,0,-0.98,0
0,9.023402e-11,1,0.02200001,0,-0.978,0
0,1.131629e-10,1,0.02399999,0,-0.976,0
0,1.391854e-10,1,0.02600002,0,-0.974,0
0,1.710023e-10,1,0.028,0,-0.972,0
0,2.148627e-10,1,0.02999997,0,-0.97,0
0,2.587244e-10,1,0.03200001,0,-0.968,0
0,3.219912e-10,1,0.03399998,0,-0.966,0
0,3.945983e-10,1,0.03600001,0,-0.964,0
0,4.823426e-10,1,0.03799999,0,-0.962,0
0,6.015535e-10,1,0.04000002,0,-0.96,0
0,7.207609e-10,1,0.042,0,-0.958,0
0,8.906631e-10,1,0.04400003,0,-0.956,0
0,1.084951e-09,1,0.046,0,-0.954,0
0,1.31818e-09,1,0.04799998,0,-0.952,0
0,1.632346e-09,1,0.05000001,0,-0.95,0
0,1.946502e-09,1,0.05199999,0,-0.948,0
0,2.388816e-09,1,0.05400002,0,-0.946,0
0,2.892777e-09,1,0.05599999,0,-0.944,0
0,3.493588e-09,1,0.05800003,0,-0.942,0
0,4.295611e-09,1,0.06,0,-0.94,0
0,5.097634e-09,1,0.06199998,0,-0.938,0
0,6.213084e-09,1,0.06400001,0,-0.936,0
0,7.479306e-09,1,0.06599998,0,-0.934,0
0,8.978478e-09,1,0.06800002,0,-0.932,0
0,1.096162e-08,1,0.06999999,0,-0.93,0
0,1.294482e-08,1,0.07200003,0,-0.928,0
0,1.566927e-08,1,0.074,0,-0.926,0
0,1.875042e-08,1,0.07599998,0,-0.924,0
0,2.23734e-08,1,0.07800001,0,-0.922,0
0,2.712208e-08,1,0.07999998,0,-0.92,0
0,3.18709e-08,1,0.08200002,0,-0.918,0
0,3.831496e-08,1,0.08399999,0,-0.916,0
0,4.557503e-08,1,0.08600003,0,-0.914,0
0,5.405298e-08,1,0.088,0,-0.912,0
0,6.506238e-08,1,0.08999997,0,-0.91,0
0,7.60721e-08,1,0.09200001,0,-0.908,0
0,9.08292e-08,1,0.09399998,0,-0.906,0
0,1.073901e-07,1,0.09600002,0,-0.904,0
0,1.265975e-07,1,0.09799999,0,-0.902,0
0,1.513064e-07,1,0.1,0,-0.9,0
0,1.760145e-07,1,0.102,0,-0.898,0
0,2.087272e-07,1,0.104,0,-0.896,0
0,2.452927e-07,1,0.106,0,-0.894,0
0,2.874132e-07,1,0.108,0,-0.892,0
0,3.410824e-07,1,0.11,0,-0.89,0
