"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1374,0,0,-0.015587,-0.026641,-0.0064389,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,1,-1,0
-1.1374,2.5287e-05,-4.8417e-05,-0.015589,-0.026573,-0.0064641,0.00031415,9.9998e-05,5.1152e-10,-1.2101e-09,3.3331e-05,-2.7095e-10,3.3335e-05,1,0.0028284,0.998,-0.998,0
-1.1374,0.00010115,-0.00019367,-0.015594,-0.026371,-0.0065396,0.00031414,9.9993e-05,2.0461e-09,-4.8403e-09,3.3323e-05,-1.0838e-09,3.3339e-05,1,0.0056569,0.996,-0.996,0
-1.1373,0.00022759,-0.00043576,-0.015604,-0.026034,-0.0066655,0.00031411,9.9984e-05,4.6038e-09,-1.0891e-08,3.331e-05,-2.4386e-09,3.3346e-05,1,0.0084853,0.994,-0.994,0
-1.1373,0.00040461,-0.00077469,-0.015616,-0.025562,-0.0068418,0.00031407,9.9972e-05,8.1846e-09,-1.9361e-08,3.3291e-05,-4.3354e-09,3.3356e-05,1,0.011314,0.992,-0.992,0
-1.1372,0.00063219,-0.0012105,-0.015633,-0.024956,-0.0070684,0.00031402,9.9957e-05,1.2788e-08,-3.0252e-08,3.3268e-05,-6.774e-09,3.3369e-05,1,0.014142,0.99,-0.99,0
-1.1371,0.00080407,-0.0015254,-0.015864,-0.024966,-0.0070367,0.00031397,9.994e-05,1.8187e-08,-4.2384e-08,3.3243e-05,-1.5301e-08,3.3382e-05,1,0.016971,0.988,-0.988,0
-1.137,0.00099325,-0.0018832,-0.015989,-0.024894,-0.0072091,0.0003139,9.9919e-05,2.3621e-08,-5.6989e-08,3.3214e-05,-2.3974e-08,3.3395e-05,1,0.019799,0.986,-0.986,0
-1.1369,0.0011997,-0.0022839,-0.016009,-0.024739,-0.0075854,0.00031382,9.9891e-05,2.9089e-08,-7.4067e-08,3.318e-05,-3.2794e-08,3.3409e-05,1,0.022627,0.984,-0.984,0
-1.1367,0.0014236,-0.0027275,-0.015924,-0.024501,-0.0081659,0.00031372,9.9859e-05,3.4592e-08,-9.3618e-08,3.3143e-05,-4.1759e-08,3.3422e-05,1,0.025456,0.982,-0.982,0
-1.1365,0.0016647,-0.0032141,-0.015733,-0.02418,-0.0089503,0.0003136,9.9821e-05,4.0129e-08,-1.1564e-07,3.3102e-05,-5.0871e-08,3.3435e-05,1,0.028284,0.98,-0.98,0
-1.1362,0.0016722,-0.0034829,-0.01525,-0.023748,-0.010416,0.0003135,9.9789e-05,4.6741e-08,-1.2938e-07,3.3103e-05,-4.0998e-08,3.3407e-05,1,0.031113,0.978,-0.978,0
-1.1359,0.0017217,-0.0038047,-0.014663,-0.023173,-0.012051,0.00031339,9.9756e-05,5.2742e-08,-1.4281e-07,3.3106e-05,-3.0836e-08,3.3377e-05,1,0.033941,0.976,-0.976,0
-1.1355,0.0018131,-0.0041795,-0.013971,-0.022456,-0.013855,0.00031328,9.9722e-05,5.8134e-08,-1.559e-07,3.3109e-05,-2.0383e-08,3.3346e-05,1,0.03677,0.974,-0.974,0
-1.1351,0.0019464,-0.0046074,-0.013175,-0.021596,-0.015829,0.00031317,9.9686e-05,6.2916e-08,-1.6868e-07,3.3112e-05,-9.6415e-09,3.3312e-05,1,0.039598,0.972,-0.972,0
-1.1347,0.0021217,-0.0050883,-0.012275,-0.020594,-0.017973,0.00031306,9.965e-05,6.7088e-08,-1.8113e-07,3.3117e-05,1.3899e-09,3.3278e-05,1,0.042426,0.97,-0.97,0
-1.1345,0.0025981,-0.0052555,-0.011777,-0.018701,-0.018969,0.00031306,9.9649e-05,9.1235e-08,-1.8416e-07,3.3115e-05,-2.0623e-09,3.3279e-05,1,0.045255,0.968,-0.968,0
-1.1344,0.0029966,-0.0052529,-0.011087,-0.016233,-0.020107,0.00031306,9.9651e-05,1.1202e-07,-1.7758e-07,3.3116e-05,-3.6222e-09,3.328e-05,1,0.048083,0.966,-0.966,0
-1.1342,0.0033173,-0.0050805,-0.010206,-0.01319,-0.021385,0.00031308,9.9656e-05,1.2943e-07,-1.6139e-07,3.3119e-05,-3.29e-09,3.328e-05,1,0.050912,0.964,-0.964,0
-1.1341,0.0035601,-0.0047385,-0.0091322,-0.0095714,-0.022803,0.0003131,9.9663e-05,1.4348e-07,-1.3558e-07,3.3125e-05,-1.0655e-09,3.328e-05,1,0.05374,0.962,-0.962,0
