"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,3.3333e-05,6.2038e-22,3.3333e-05,1,0,-1,-1,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,1.7161e-21,7.6054e-22,3.3333e-05,7.0781e-22,3.3333e-05,1,0.0028284,-0.998,-0.998,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,7.3473e-21,6.6325e-21,3.3333e-05,9.7009e-22,3.3333e-05,1,0.0056569,-0.996,-0.996,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,1.6732e-20,1.6419e-20,3.3333e-05,1.4072e-21,3.3333e-05,1,0.0084853,-0.994,-0.994,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,2.9872e-20,3.012e-20,3.3333e-05,2.0192e-21,3.3333e-05,1,0.011314,-0.992,-0.992,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,4.6765e-20,4.7736e-20,3.3333e-05,2.806e-21,3.3333e-05,1,0.014142,-0.99,-0.99,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,5.2421e-20,5.4906e-20,3.3333e-05,2.7307e-21,3.3333e-05,1,0.016971,-0.988,-0.988,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,5.7502e-20,6.1827e-20,3.3333e-05,2.6191e-21,3.3333e-05,1,0.019799,-0.986,-0.986,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,6.2006e-20,6.8498e-20,3.3333e-05,2.471e-21,3.3333e-05,1,0.022627,-0.984,-0.984,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,6.5936e-20,7.492e-20,3.3333e-05,2.2865e-21,3.3333e-05,1,0.025456,-0.982,-0.982,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,6.9289e-20,8.1093e-20,3.3333e-05,2.0657e-21,3.3333e-05,1,0.028284,-0.98,-0.98,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,5.339e-20,6.3641e-20,3.3333e-05,7.42e-22,3.3333e-05,1,0.031113,-0.978,-0.978,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,3.7447e-20,4.6586e-20,3.3333e-05,-1.8285e-22,3.3333e-05,1,0.033941,-0.976,-0.976,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,2.1459e-20,2.9927e-20,3.3333e-05,-7.0891e-22,3.3333e-05,1,0.03677,-0.974,-0.974,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,5.4274e-21,1.3666e-20,3.3333e-05,-8.3614e-22,3.3333e-05,1,0.039598,-0.972,-0.972,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,-1.0649e-20,-2.1974e-21,3.3333e-05,-5.6457e-22,3.3333e-05,1,0.042426,-0.97,-0.97,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,-3.9044e-21,-7.952e-22,3.3333e-05,-9.094e-22,3.3333e-05,1,0.045255,-0.968,-0.968,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,1.7276e-21,4.3314e-22,3.3333e-05,-1.4013e-21,3.3333e-05,1,0.048083,-0.966,-0.966,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,6.2467e-21,1.4877e-21,3.3333e-05,-2.0402e-21,3.3333e-05,1,0.050912,-0.964,-0.964,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,9.6528e-21,2.3684e-21,3.3333e-05,-2.8263e-21,3.3333e-05,1,0.05374,-0.962,-0.962,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,1.1946e-20,3.0752e-21,3.3333e-05,-3.7594e-21,3.3333e-05,1,0.056569,-0.96,-0.96,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,1.0477e-20,3.4857e-21,3.3333e-05,-3.9532e-21,3.3333e-05,1,0.059397,-0.958,-0.958,0
-1.1447,1.0146e-17,9.3699e-17,2.3249e-14,1.7716e-16,1.9953e-14,0.00031416,0.0001,7.8386e-21,3.9574e-21,3.3333e-05,-3.8745e-21,3.3333e-05,1,0.062225,-0.956,-0.956,0
