"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.4458e-21,8.8315e-22,1,0.0028284,-0.998,-0.998,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,6.2662e-21,7.123e-21,1,0.0056569,-0.996,-0.996,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.43e-20,1.7522e-20,1,0.0084853,-0.994,-0.994,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,2.5547e-20,3.2082e-20,1,0.011314,-0.992,-0.992,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.0008e-20,5.0801e-20,1,0.014142,-0.99,-0.99,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.6448e-20,5.8554e-20,1,0.016971,-0.988,-0.988,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,5.2755e-20,6.6184e-20,1,0.019799,-0.986,-0.986,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,5.8931e-20,7.369e-20,1,0.022627,-0.984,-0.984,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,6.4975e-20,8.1073e-20,1,0.025456,-0.982,-0.982,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,7.0888e-20,8.8333e-20,1,0.028284,-0.98,-0.98,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,5.738e-20,6.9766e-20,1,0.031113,-0.978,-0.978,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.2862e-20,5.0913e-20,1,0.033941,-0.976,-0.976,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,2.7333e-20,3.1773e-20,1,0.03677,-0.974,-0.974,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.0796e-20,1.2347e-20,1,0.039598,-0.972,-0.972,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-6.7525e-21,-7.366e-21,1,0.042426,-0.97,-0.97,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-2.8624e-21,-5.7182e-21,1,0.045255,-0.968,-0.968,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.2405e-22,-4.1283e-21,1,0.048083,-0.966,-0.966,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,2.2069e-21,-2.5962e-21,1,0.050912,-0.964,-0.964,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.3861e-21,-1.122e-21,1,0.05374,-0.962,-0.962,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.6618e-21,2.9432e-22,1,0.056569,-0.96,-0.96,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.9936e-21,6.358e-22,1,0.059397,-0.958,-0.958,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.8438e-22,1.0864e-21,1,0.062225,-0.956,-0.956,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.1657e-21,1.646e-21,1,0.065054,-0.954,-0.954,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-2.6566e-21,2.3147e-21,1,0.067882,-0.952,-0.952,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-4.0885e-21,3.0925e-21,1,0.070711,-0.95,-0.95,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-3.0132e-21,8.4551e-22,1,0.073539,-0.948,-0.948,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-5.9899e-22,-1.308e-21,1,0.076368,-0.946,-0.946,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.154e-21,-3.3678e-21,1,0.079196,-0.944,-0.944,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,8.2459e-21,-5.3342e-21,1,0.082024,-0.942,-0.942,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.4676e-20,-7.2069e-21,1,0.084853,-0.94,-0.94,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.2298e-20,-5.7533e-21,1,0.087681,-0.938,-0.938,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.0074e-20,-5.5167e-21,1,0.09051,-0.936,-0.936,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,8.0054e-21,-6.4973e-21,1,0.093338,-0.934,-0.934,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,6.0922e-21,-8.695e-21,1,0.096167,-0.932,-0.932,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.3342e-21,-1.211e-20,1,0.098995,-0.93,-0.93,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,5.0897e-22,-1.0916e-20,1,0.10182,-0.928,-0.928,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.4141e-21,-9.1622e-21,1,0.10465,-0.926,-0.926,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.4351e-21,-6.848e-21,1,0.10748,-0.924,-0.924,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.4613e-22,-3.9733e-21,1,0.11031,-0.922,-0.922,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.2294e-21,-5.384e-22,1,0.11314,-0.92,-0.92,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.419e-21,-3.3075e-22,1,0.11597,-0.918,-0.918,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.1538e-21,-2.027e-22,1,0.11879,-0.916,-0.916,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.4339e-21,-1.5425e-22,1,0.12162,-0.914,-0.914,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,2.2593e-21,-1.854e-22,1,0.12445,-0.912,-0.912,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,6.3e-22,-2.9613e-22,1,0.12728,-0.91,-0.91,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-2.2262e-21,-1.2122e-21,1,0.13011,-0.908,-0.908,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-4.112e-21,-1.7919e-21,1,0.13294,-0.906,-0.906,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-5.0272e-21,-2.0353e-21,1,0.13576,-0.904,-0.904,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-4.972e-21,-1.9423e-21,1,0.13859,-0.902,-0.902,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-3.9463e-21,-1.5131e-21,1,0.14142,-0.9,-0.9,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,4.0204e-22,-4.8578e-22,1,0.14425,-0.898,-0.898,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.9436e-21,9.1911e-22,1,0.14708,-0.896,-0.896,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,6.6785e-21,2.7017e-21,1,0.14991,-0.894,-0.894,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,8.6065e-21,4.8618e-21,1,0.15274,-0.892,-0.892,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,9.7277e-21,7.3996e-21,1,0.15556,-0.89,-0.89,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.0983e-20,5.911e-21,1,0.15839,-0.888,-0.888,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.0977e-20,3.8183e-21,1,0.16122,-0.886,-0.886,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,9.71e-21,1.1216e-21,1,0.16405,-0.884,-0.884,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,7.1811e-21,-2.1791e-21,1,0.16688,-0.882,-0.882,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.3905e-21,-6.0839e-21,1,0.16971,-0.88,-0.88,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,3.3205e-22,-4.2906e-21,1,0.17253,-0.878,-0.878,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.5691e-21,-2.1731e-21,1,0.17536,-0.876,-0.876,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-2.313e-21,2.6844e-22,1,0.17819,-0.874,-0.874,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-1.8995e-21,3.0343e-21,1,0.18102,-0.872,-0.872,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-3.2866e-22,6.1242e-21,1,0.18385,-0.87,-0.87,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.4658e-21,8.5259e-21,1,0.18668,-0.868,-0.868,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,1.2972e-21,1.0221e-20,1,0.1895,-0.866,-0.866,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-8.3427e-22,1.1208e-20,1,0.19233,-0.864,-0.864,0
-1.1443,-6.1377e-17,1.0799e-16,0.00031416,0.0001,-4.9288e-21,1.1489e-20,1,0.19516,-0.862,-0.862,0
