"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-2.2828e-20,-5.7995e-21,1,0.0028284,-0.998,-0.998,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-9.083e-20,-1.9608e-20,1,0.0056569,-0.996,-0.996,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-2.0416e-19,-4.2623e-20,1,0.0084853,-0.994,-0.994,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-3.6284e-19,-7.4843e-20,1,0.011314,-0.992,-0.992,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-5.6684e-19,-1.1627e-19,1,0.014142,-0.99,-0.99,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-7.0978e-19,-2.3182e-19,1,0.016971,-0.988,-0.988,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-8.5557e-19,-3.5527e-19,1,0.019799,-0.986,-0.986,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.0042e-18,-4.8661e-19,1,0.022627,-0.984,-0.984,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.1557e-18,-6.2586e-19,1,0.025456,-0.982,-0.982,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-1.3101e-18,-7.7301e-19,1,0.028284,-0.98,-0.98,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-9.9176e-19,-6.9502e-19,1,0.031113,-0.978,-0.978,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-7.1589e-19,-6.1835e-19,1,0.033941,-0.976,-0.976,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-4.8249e-19,-5.4298e-19,1,0.03677,-0.974,-0.974,0
-6.1397,-1.6911e-17,1.0836e-16,0.00031416,0.0001,-2.9157e-19,-4.6892e-19,1,0.039598,-0.972,-0.972,0
