"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,0,0,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,1,-1,0
-1.1447,0,0,0.00031416,0.0001,4.3488e-21,-3.3029e-21,1,0.0028284,0.998,-0.998,0
-1.1447,0,0,0.00031416,0.0001,1.7879e-20,-9.6219e-21,1,0.0056569,0.996,-0.996,0
-1.1447,0,0,0.00031416,0.0001,4.0428e-20,-2.0153e-20,1,0.0084853,0.994,-0.994,0
-1.1447,0,0,0.00031416,0.0001,7.1997e-20,-3.4897e-20,1,0.011314,0.992,-0.992,0
-1.1447,0,0,0.00031416,0.0001,1.1259e-19,-5.3854e-20,1,0.014142,0.99,-0.99,0
-1.1447,0,0,0.00031416,0.0001,1.1335e-19,-6.2791e-20,1,0.016971,0.988,-0.988,0
-1.1447,0,0,0.00031416,0.0001,1.1416e-19,-7.1674e-20,1,0.019799,0.986,-0.986,0
-1.1447,0,0,0.00031416,0.0001,1.1503e-19,-8.0504e-20,1,0.022627,0.984,-0.984,0
-1.1447,0,0,0.00031416,0.0001,1.1595e-19,-8.9279e-20,1,0.025456,0.982,-0.982,0
-1.1447,0,0,0.00031416,0.0001,1.1692e-19,-9.8001e-20,1,0.028284,0.98,-0.98,0
-1.1447,0,0,0.00031416,0.0001,8.7975e-20,-7.7172e-20,1,0.031113,0.978,-0.978,0
-1.1447,0,0,0.00031416,0.0001,5.8662e-20,-5.6889e-20,1,0.033941,0.976,-0.976,0
-1.1447,0,0,0.00031416,0.0001,2.898e-20,-3.715e-20,1,0.03677,0.974,-0.974,0
-1.1447,0,0,0.00031416,0.0001,-1.0686e-21,-1.7957e-20,1,0.039598,0.972,-0.972,0
-1.1447,0,0,0.00031416,0.0001,-3.1486e-20,6.919e-22,1,0.042426,0.97,-0.97,0
-1.1447,0,0,0.00031416,0.0001,-2.5965e-20,-1.8012e-21,1,0.045255,0.968,-0.968,0
-1.1447,0,0,0.00031416,0.0001,-1.8964e-20,-3.8774e-21,1,0.048083,0.966,-0.966,0
-1.1447,0,0,0.00031416,0.0001,-1.0485e-20,-5.5368e-21,1,0.050912,0.964,-0.964,0
-1.1447,0,0,0.00031416,0.0001,-5.2745e-22,-6.7791e-21,1,0.05374,0.962,-0.962,0
-1.1447,0,0,0.00031416,0.0001,1.0909e-20,-7.6044e-21,1,0.056569,0.96,-0.96,0
-1.1447,0,0,0.00031416,0.0001,6.5496e-21,-7.1115e-21,1,0.059397,0.958,-0.958,0
-1.1447,0,0,0.00031416,0.0001,1.6725e-21,-6.8363e-21,1,0.062225,0.956,-0.956,0
-1.1447,0,0,0.00031416,0.0001,-3.722e-21,-6.779e-21,1,0.065054,0.954,-0.954,0
-1.1447,0,0,0.00031416,0.0001,-9.6342e-21,-6.9396e-21,1,0.067882,0.952,-0.952,0
-1.1447,0,0,0.00031416,0.0001,-1.6064e-20,-7.318e-21,1,0.070711,0.95,-0.95,0
-1.1447,0,0,0.00031416,0.0001,-1.2163e-20,-6.3477e-21,1,0.073539,0.948,-0.948,0
-1.1447,0,0,0.00031416,0.0001,-8.1698e-21,-4.7248e-21,1,0.076368,0.946,-0.946,0
-1.1447,0,0,0.00031416,0.0001,-4.0846e-21,-2.4495e-21,1,0.079196,0.944,-0.944,0
-1.1447,0,0,0.00031416,0.0001,9.2841e-23,4.7847e-22,1,0.082024,0.942,-0.942,0
-1.1447,0,0,0.00031416,0.0001,4.3622e-21,4.0589e-21,1,0.084853,0.94,-0.94,0
-1.1447,0,0,0.00031416,0.0001,5.9176e-21,4.2597e-21,1,0.087681,0.938,-0.938,0
-1.1447,0,0,0.00031416,0.0001,7.4103e-21,5.1196e-21,1,0.09051,0.936,-0.936,0
-1.1447,0,0,0.00031416,0.0001,8.8404e-21,6.6385e-21,1,0.093338,0.934,-0.934,0
-1.1447,0,0,0.00031416,0.0001,1.0208e-20,8.8166e-21,1,0.096167,0.932,-0.932,0
-1.1447,0,0,0.00031416,0.0001,1.1513e-20,1.1654e-20,1,0.098995,0.93,-0.93,0
-1.1447,0,0,0.00031416,0.0001,6.9644e-21,8.533e-21,1,0.10182,0.928,-0.928,0
-1.1447,0,0,0.00031416,0.0001,4.3928e-21,6.6544e-21,1,0.10465,0.926,-0.926,0
-1.1447,0,0,0.00031416,0.0001,3.7976e-21,6.0178e-21,1,0.10748,0.924,-0.924,0
-1.1447,0,0,0.00031416,0.0001,5.179e-21,6.6232e-21,1,0.11031,0.922,-0.922,0
-1.1447,0,0,0.00031416,0.0001,8.537e-21,8.4706e-21,1,0.11314,0.92,-0.92,0
-1.1447,0,0,0.00031416,0.0001,7.0568e-21,2.3171e-21,1,0.11597,0.918,-0.918,0
-1.1447,0,0,0.00031416,0.0001,6.8112e-21,-2.0952e-21,1,0.11879,0.916,-0.916,0
-1.1447,0,0,0.00031416,0.0001,7.7999e-21,-4.7664e-21,1,0.12162,0.914,-0.914,0
-1.1447,0,0,0.00031416,0.0001,1.0023e-20,-5.6965e-21,1,0.12445,0.912,-0.912,0
-1.1447,0,0,0.00031416,0.0001,1.3481e-20,-4.8856e-21,1,0.12728,0.91,-0.91,0
-1.1447,0,0,0.00031416,0.0001,1.0591e-20,-2.1857e-21,1,0.13011,0.908,-0.908,0
-1.1447,0,0,0.00031416,0.0001,8.072e-21,-5.2262e-22,1,0.13294,0.906,-0.906,0
-1.1447,0,0,0.00031416,0.0001,5.924e-21,1.0389e-22,1,0.13576,0.904,-0.904,0
-1.1447,0,0,0.00031416,0.0001,4.1471e-21,-3.0626e-22,1,0.13859,0.902,-0.902,0
-1.1447,0,0,0.00031416,0.0001,2.7411e-21,-1.7531e-21,1,0.14142,0.9,-0.9,0
-1.1447,0,0,0.00031416,0.0001,3.9108e-21,-4.0317e-21,1,0.14425,0.898,-0.898,0
-1.1447,0,0,0.00031416,0.0001,4.7831e-21,-6.5142e-21,1,0.14708,0.896,-0.896,0
-1.1447,0,0,0.00031416,0.0001,5.3582e-21,-9.2005e-21,1,0.14991,0.894,-0.894,0
-1.1447,0,0,0.00031416,0.0001,5.6359e-21,-1.2091e-20,1,0.15274,0.892,-0.892,0
-1.1447,0,0,0.00031416,0.0001,5.6164e-21,-1.5184e-20,1,0.15556,0.89,-0.89,0
-1.1447,0,0,0.00031416,0.0001,2.2537e-21,-1.0289e-20,1,0.15839,0.888,-0.888,0
-1.1447,0,0,0.00031416,0.0001,-1.1311e-21,-6.2013e-21,1,0.16122,0.886,-0.886,0
-1.1447,0,0,0.00031416,0.0001,-4.5377e-21,-2.9217e-21,1,0.16405,0.884,-0.884,0
-1.1447,0,0,0.00031416,0.0001,-7.9663e-21,-4.501e-22,1,0.16688,0.882,-0.882,0
-1.1447,0,0,0.00031416,0.0001,-1.1417e-20,1.2136e-21,1,0.16971,0.88,-0.88,0
-1.1447,0,0,0.00031416,0.0001,-1.062e-20,1.3722e-21,1,0.17253,0.878,-0.878,0
-1.1447,0,0,0.00031416,0.0001,-9.0524e-21,1.5824e-21,1,0.17536,0.876,-0.876,0
-1.1447,0,0,0.00031416,0.0001,-6.715e-21,1.8443e-21,1,0.17819,0.874,-0.874,0
-1.1447,0,0,0.00031416,0.0001,-3.6076e-21,2.1579e-21,1,0.18102,0.872,-0.872,0
-1.1447,0,0,0.00031416,0.0001,2.6974e-22,2.523e-21,1,0.18385,0.87,-0.87,0
-1.1447,0,0,0.00031416,0.0001,1.9029e-21,3.5576e-21,1,0.18668,0.868,-0.868,0
-1.1447,0,0,0.00031416,0.0001,3.1776e-21,4.6283e-21,1,0.1895,0.866,-0.866,0
-1.1447,0,0,0.00031416,0.0001,4.0937e-21,5.7351e-21,1,0.19233,0.864,-0.864,0
-1.1447,0,0,0.00031416,0.0001,4.6513e-21,6.8779e-21,1,0.19516,0.862,-0.862,0
-1.1447,0,0,0.00031416,0.0001,4.8504e-21,8.0569e-21,1,0.19799,0.86,-0.86,0
-1.1447,0,0,0.00031416,0.0001,2.8293e-21,6.5932e-21,1,0.20082,0.858,-0.858,0
-1.1447,0,0,0.00031416,0.0001,1.4246e-21,4.7277e-21,1,0.20365,0.856,-0.856,0
-1.1447,0,0,0.00031416,0.0001,6.3636e-22,2.46e-21,1,0.20648,0.854,-0.854,0
-1.1447,0,0,0.00031416,0.0001,4.6451e-22,-2.0953e-22,1,0.2093,0.852,-0.852,0
-1.1447,0,0,0.00031416,0.0001,9.0907e-22,-3.2811e-21,1,0.21213,0.85,-0.85,0
-1.1447,0,0,0.00031416,0.0001,2.2371e-21,-4.3e-21,1,0.21496,0.848,-0.848,0
-1.1447,0,0,0.00031416,0.0001,3.9624e-21,-5.4132e-21,1,0.21779,0.846,-0.846,0
