"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,-0.00099994,0.00074926,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,1,-1,0
-1.1447,-0.0009989,0.00074838,0.00031416,0.0001,-2.5171e-10,-2.508e-10,1,0.0028284,0.998,-0.998,0
-1.1447,-0.00099578,0.00074571,0.00031416,9.9999e-05,-1.0069e-09,-1.0032e-09,1,0.0056569,0.996,-0.996,0
-1.1447,-0.00099057,0.00074127,0.00031415,9.9997e-05,-2.2655e-09,-2.2572e-09,1,0.0084853,0.994,-0.994,0
-1.1447,-0.00098327,0.00073505,0.00031414,9.9995e-05,-4.0275e-09,-4.0129e-09,1,0.011314,0.992,-0.992,0
-1.1447,-0.00097389,0.00072706,0.00031414,9.9993e-05,-6.293e-09,-6.2701e-09,1,0.014142,0.99,-0.99,0
-1.1447,-0.00097278,0.00072101,0.00031412,9.9988e-05,-1.0557e-08,-8.5401e-09,1,0.016971,0.988,-0.988,0
-1.1447,-0.00097492,0.00070754,0.00031411,9.9983e-05,-1.5438e-08,-1.1449e-08,1,0.019799,0.986,-0.986,0
-1.1447,-0.00098031,0.00068667,0.00031408,9.9976e-05,-2.0934e-08,-1.4998e-08,1,0.022627,0.984,-0.984,0
-1.1447,-0.00098896,0.00065839,0.00031406,9.9969e-05,-2.7048e-08,-1.9187e-08,1,0.025456,0.982,-0.982,0
-1.1447,-0.0010009,0.0006227,0.00031403,9.996e-05,-3.3778e-08,-2.4015e-08,1,0.028284,0.98,-0.98,0
-1.1447,-0.00090582,0.00047689,0.00031403,9.9959e-05,-2.9272e-08,-1.9634e-08,1,0.031113,0.978,-0.978,0
-1.1447,-0.0008304,0.00037088,0.00031403,9.9959e-05,-2.5485e-08,-1.5989e-08,1,0.033941,0.976,-0.976,0
-1.1447,-0.00077457,0.00030464,0.00031403,9.9959e-05,-2.2417e-08,-1.3081e-08,1,0.03677,0.974,-0.974,0
-1.1447,-0.00073834,0.00027819,0.00031404,9.9962e-05,-2.0067e-08,-1.0909e-08,1,0.039598,0.972,-0.972,0
-1.1447,-0.00072172,0.00029153,0.00031405,9.9965e-05,-1.8437e-08,-9.4736e-09,1,0.042426,0.97,-0.97,0
-1.1447,-0.00057651,0.00026861,0.00031406,9.9968e-05,-1.6648e-08,-3.8916e-09,1,0.045255,0.968,-0.968,0
-1.1447,-0.00045275,0.00026671,0.00031407,9.9973e-05,-1.5043e-08,7.8871e-10,1,0.048083,0.966,-0.966,0
-1.1447,-0.00035043,0.00028582,0.00031409,9.9979e-05,-1.3621e-08,4.5677e-09,1,0.050912,0.964,-0.964,0
