"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-3.2247e-19,1.6079e-19,1,0.0028284,-0.998,-0.998,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-1.2894e-18,6.4679e-19,1,0.0056569,-0.996,-0.996,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-2.901e-18,1.4568e-18,1,0.0084853,-0.994,-0.994,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-5.1573e-18,2.5907e-18,1,0.011314,-0.992,-0.992,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-8.0581e-18,4.0487e-18,1,0.014142,-0.99,-0.99,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-8.7899e-18,2.8935e-18,1,0.016971,-0.988,-0.988,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-9.4388e-18,1.8243e-18,1,0.019799,-0.986,-0.986,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-1.0005e-17,8.412e-19,1,0.022627,-0.984,-0.984,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-1.0488e-17,-5.5961e-20,1,0.025456,-0.982,-0.982,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-1.0888e-17,-8.6709e-19,1,0.028284,-0.98,-0.98,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-6.4259e-18,-3.0975e-19,1,0.031113,-0.978,-0.978,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,-2.6915e-18,4.8556e-19,1,0.033941,-0.976,-0.976,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,3.1533e-19,1.5189e-18,1,0.03677,-0.974,-0.974,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,2.5945e-18,2.7901e-18,1,0.039598,-0.972,-0.972,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,4.1462e-18,4.2994e-18,1,0.042426,-0.97,-0.97,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,6.9777e-18,4.106e-18,1,0.045255,-0.968,-0.968,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,9.8182e-18,3.7639e-18,1,0.048083,-0.966,-0.966,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,1.2668e-17,3.2729e-18,1,0.050912,-0.964,-0.964,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,1.5526e-17,2.6332e-18,1,0.05374,-0.962,-0.962,0
-4.2826,-2.4405e-17,1.155e-16,0.00031416,0.0001,1.8394e-17,1.8447e-18,1,0.056569,-0.96,-0.96,0
