"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-2.6089e-21,-1.0274e-21,1,0.0028284,-0.998,-0.998,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-9.9532e-21,-5.1955e-22,1,0.0056569,-0.996,-0.996,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-2.2193e-20,3.2687e-22,1,0.0084853,-0.994,-0.994,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.933e-20,1.5119e-21,1,0.011314,-0.992,-0.992,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-6.1362e-20,3.0355e-21,1,0.014142,-0.99,-0.99,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-7.1473e-20,-7.4918e-21,1,0.016971,-0.988,-0.988,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-8.2109e-20,-1.8919e-20,1,0.019799,-0.986,-0.986,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-9.3271e-20,-3.1247e-20,1,0.022627,-0.984,-0.984,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-1.0496e-19,-4.4475e-20,1,0.025456,-0.982,-0.982,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-1.1717e-19,-5.8603e-20,1,0.028284,-0.98,-0.98,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-9.0287e-20,-5.8603e-20,1,0.031113,-0.978,-0.978,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-6.7772e-20,-5.7363e-20,1,0.033941,-0.976,-0.976,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-4.9627e-20,-5.4885e-20,1,0.03677,-0.974,-0.974,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.5853e-20,-5.1168e-20,1,0.039598,-0.972,-0.972,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-2.6449e-20,-4.6212e-20,1,0.042426,-0.97,-0.97,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-8.9171e-21,-4.3937e-20,1,0.045255,-0.968,-0.968,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,7.0766e-21,-4.4344e-20,1,0.048083,-0.966,-0.966,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,2.1533e-20,-4.7431e-20,1,0.050912,-0.964,-0.964,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.445e-20,-5.32e-20,1,0.05374,-0.962,-0.962,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,4.5829e-20,-6.1649e-20,1,0.056569,-0.96,-0.96,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.0475e-20,-5.0537e-20,1,0.059397,-0.958,-0.958,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,1.1355e-20,-4.2296e-20,1,0.062225,-0.956,-0.956,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-1.1528e-20,-3.6926e-20,1,0.065054,-0.954,-0.954,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.8176e-20,-3.4427e-20,1,0.067882,-0.952,-0.952,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-6.8588e-20,-3.48e-20,1,0.070711,-0.95,-0.95,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-6.6748e-20,-3.8879e-20,1,0.073539,-0.948,-0.948,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-5.5362e-20,-4.4189e-20,1,0.076368,-0.946,-0.946,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.4429e-20,-5.0728e-20,1,0.079196,-0.944,-0.944,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.9482e-21,-5.8498e-20,1,0.082024,-0.942,-0.942,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.6078e-20,-6.7497e-20,1,0.084853,-0.94,-0.94,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.4994e-20,-4.8822e-20,1,0.087681,-0.938,-0.938,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.7683e-20,-3.891e-20,1,0.09051,-0.936,-0.936,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,4.4143e-20,-3.7763e-20,1,0.093338,-0.934,-0.934,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,5.4377e-20,-4.538e-20,1,0.096167,-0.932,-0.932,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,6.8382e-20,-6.1761e-20,1,0.098995,-0.93,-0.93,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,2.2788e-20,-4.0759e-20,1,0.10182,-0.928,-0.928,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-9.0021e-21,-3.2409e-20,1,0.10465,-0.926,-0.926,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-2.6989e-20,-3.6711e-20,1,0.10748,-0.924,-0.924,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-3.1172e-20,-5.3665e-20,1,0.11031,-0.922,-0.922,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-2.1552e-20,-8.3271e-20,1,0.11314,-0.92,-0.92,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-1.6689e-20,-7.7708e-20,1,0.11597,-0.918,-0.918,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,-8.6831e-21,-6.5414e-20,1,0.11879,-0.916,-0.916,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,2.4662e-21,-4.6389e-20,1,0.12162,-0.914,-0.914,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,1.6758e-20,-2.0632e-20,1,0.12445,-0.912,-0.912,0
-8.3053,-2.8339e-21,1.7669e-19,0.00031416,0.0001,3.4194e-20,1.1856e-20,1,0.12728,-0.91,-0.91,0
