"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,0,0,0.00031416,0.0001,-1.6093e-22,-1.1967e-21,1,0,-1,-1,0
-1.1447,0,0,0.00031416,0.0001,1.5003e-21,2.2804e-21,1,0.0028284,-0.998,-0.998,0
-1.1447,0,0,0.00031416,0.0001,6.484e-21,1.2712e-20,1,0.0056569,-0.996,-0.996,0
-1.1447,0,0,0.00031416,0.0001,1.479e-20,3.0098e-20,1,0.0084853,-0.994,-0.994,0
-1.1447,0,0,0.00031416,0.0001,2.6419e-20,5.4439e-20,1,0.011314,-0.992,-0.992,0
-1.1447,0,0,0.00031416,0.0001,4.137e-20,8.5733e-20,1,0.014142,-0.99,-0.99,0
-1.1447,0,0,0.00031416,0.0001,5.4772e-20,9.673e-20,1,0.016971,-0.988,-0.988,0
-1.1447,0,0,0.00031416,0.0001,6.6708e-20,1.0631e-19,1,0.019799,-0.986,-0.986,0
-1.1447,0,0,0.00031416,0.0001,7.718e-20,1.1448e-19,1,0.022627,-0.984,-0.984,0
-1.1447,0,0,0.00031416,0.0001,8.6188e-20,1.2124e-19,1,0.025456,-0.982,-0.982,0
-1.1447,0,0,0.00031416,0.0001,9.373e-20,1.2658e-19,1,0.028284,-0.98,-0.98,0
-1.1447,0,0,0.00031416,0.0001,7.4337e-20,9.3849e-20,1,0.031113,-0.978,-0.978,0
-1.1447,0,0,0.00031416,0.0001,5.1368e-20,6.0937e-20,1,0.033941,-0.976,-0.976,0
-1.1447,0,0,0.00031416,0.0001,2.4822e-20,2.7848e-20,1,0.03677,-0.974,-0.974,0
-1.1447,0,0,0.00031416,0.0001,-5.2989e-21,-5.4185e-21,1,0.039598,-0.972,-0.972,0
-1.1447,0,0,0.00031416,0.0001,-3.8996e-20,-3.8863e-20,1,0.042426,-0.97,-0.97,0
-1.1447,0,0,0.00031416,0.0001,-2.9005e-20,-3.0942e-20,1,0.045255,-0.968,-0.968,0
-1.1447,0,0,0.00031416,0.0001,-1.9577e-20,-2.3067e-20,1,0.048083,-0.966,-0.966,0
-1.1447,0,0,0.00031416,0.0001,-1.0712e-20,-1.5238e-20,1,0.050912,-0.964,-0.964,0
-1.1447,0,0,0.00031416,0.0001,-2.4107e-21,-7.4557e-21,1,0.05374,-0.962,-0.962,0
-1.1447,0,0,0.00031416,0.0001,5.3275e-21,2.8079e-22,1,0.056569,-0.96,-0.96,0
-1.1447,0,0,0.00031416,0.0001,3.5981e-21,9.4206e-22,1,0.059397,-0.958,-0.958,0
-1.1447,0,0,0.00031416,0.0001,1.8434e-21,1.4469e-21,1,0.062225,-0.956,-0.956,0
-1.1447,0,0,0.00031416,0.0001,6.367e-23,1.7953e-21,1,0.065054,-0.954,-0.954,0
-1.1447,0,0,0.00031416,0.0001,-1.7413e-21,1.9872e-21,1,0.067882,-0.952,-0.952,0
-1.1447,0,0,0.00031416,0.0001,-3.5715e-21,2.0226e-21,1,0.070711,-0.95,-0.95,0
-1.1447,0,0,0.00031416,0.0001,-3.0588e-21,3.8989e-22,1,0.073539,-0.948,-0.948,0
-1.1447,0,0,0.00031416,0.0001,-1.3139e-21,-1.3839e-21,1,0.076368,-0.946,-0.946,0
-1.1447,0,0,0.00031416,0.0001,1.6632e-21,-3.2985e-21,1,0.079196,-0.944,-0.944,0
-1.1447,0,0,0.00031416,0.0001,5.8725e-21,-5.3542e-21,1,0.082024,-0.942,-0.942,0
-1.1447,0,0,0.00031416,0.0001,1.1314e-20,-7.5507e-21,1,0.084853,-0.94,-0.94,0
-1.1447,0,0,0.00031416,0.0001,9.7526e-21,-6.097e-21,1,0.087681,-0.938,-0.938,0
-1.1447,0,0,0.00031416,0.0001,8.2827e-21,-6.0449e-21,1,0.09051,-0.936,-0.936,0
